"pubmedID","num_inter","n_proteins","methods"
"11423130","2","4","pull down,two hybrid"
"11551898","1","2","coimmunoprecipitation,pull down,two hybrid"
"9207119","2","3","coimmunoprecipitation"
"11821067","2","3","pull down,two hybrid"
"11257119","2","3","coimmunoprecipitation"
"11483955","3","3","two hybrid"
"11557039","1","2","experimental interaction detection"
"11557047","1","2","coimmunoprecipitation"
"11726515","1","2","anti bait coimmunoprecipitation,coimmunoprecipitation"
"10849448","1","2","pull down"
"11433030","1","2","coimmunoprecipitation"
"11882901","3","4","experimental interaction detection"
"11574675","5","6","two hybrid"
"11845213","1","2","two hybrid,x ray crystallography"
"11483589","2","3","coimmunoprecipitation,cross linking study,pull down"
"11035005","2","3","pull down"
"11226885","1","1","coimmunoprecipitation"
"11359767","3","4","far western blotting"
"11389839","2","3","two hybrid"
"11298456","1","2","coimmunoprecipitation"
"11894095","6","5","anti bait coimmunoprecipitation"
"11894096","3","5","coimmunoprecipitation,pull down"
"11067845","1","2","coimmunoprecipitation,imaging technique,pull down"
"11916981","3","4","pull down"
"10724175","2","3","coimmunoprecipitation,experimental interaction detection"
"11716516","1","2","coimmunoprecipitation"
"7517397","1","2","coimmunoprecipitation,phage display,pull down"
"8702968","2","3","pull down"
"11408474","2","3","coimmunoprecipitation"
"10982835","1","2","coimmunoprecipitation,two hybrid"
"11823437","1","2","coimmunoprecipitation,experimental interaction detection,pull down"
"7721825","1","2","coimmunoprecipitation,pull down"
"10655614","1","2","x ray crystallography"
"9681826","2","3","coimmunoprecipitation,pull down"
"10924507","1","2","pull down"
"10668806","7","8","pull down"
"11923872","1","2","experimental interaction detection"
"11152665","1","2","coimmunoprecipitation"
"11804596","1","2","experimental interaction detection"
"10629222","2","3","coimmunoprecipitation"
"11498534","1","2","coimmunoprecipitation,imaging technique,two hybrid"
"11517213","2","3","imaging technique"
"11533444","1","2","coimmunoprecipitation,experimental interaction detection,pull down"
"10713100","1","2","pull down"
"8700527","1","2","experimental interaction detection"
"9716598","5","4","experimental interaction detection"
"12024216","3","4","fluorescence microscopy"
"10766246","1","2","two hybrid"
"11842083","1","2","coimmunoprecipitation,pull down,two hybrid"
"11943145","2","3","pull down"
"12096124","8","8","two hybrid,ubiquitin reconstruction"
"11003656","4","4","pull down"
"9926942","2","3","pull down"
"11438723","7","5","beta lactamase complementation"
"12062430","10","11","imaging technique"
"9312143","2","3","competition binding,pull down"
"11847341","1","2","coimmunoprecipitation,two hybrid"
"12004135","1","2","coimmunoprecipitation"
"9016636","1","2","pull down,two hybrid"
"11988536","2","3","anti bait coimmunoprecipitation,two hybrid"
"12029088","20","21","pull down"
"9092546","1","2","imaging technique,two hybrid"
"11024045","2","3","coimmunoprecipitation"
"12037680","1","2","coimmunoprecipitation,pull down"
"12147692","1","2","coimmunoprecipitation,pull down,two hybrid"
"10518533","1","2","enzyme linked immunosorbent assay"
"10588641","1","2","experimental interaction detection"
"10783163","4","3","affinity chromatography technology"
"11500364","2","3","experimental interaction detection"
"9032233","1","2","pull down"
"12067721","1","2","coimmunoprecipitation,pull down"
"11242052","1","2","experimental interaction detection,pull down"
"10644755","7","5","coimmunoprecipitation"
"10704825","3","4","coimmunoprecipitation,pull down"
"10716926","1","2","coimmunoprecipitation,experimental interaction detection,imaging technique"
"10749867","1","2","two hybrid"
"11584276","1","2","imaging technique"
"11700327","9","5","coimmunoprecipitation,experimental interaction detection"
"11884411","2","3","coimmunoprecipitation"
"11940573","2","3","coimmunoprecipitation"
"8621483","4","5","coimmunoprecipitation"
"9506989","3","4","pull down,two hybrid"
"8621645","2","3","imaging technique"
"8662806","3","4","pull down,two hybrid"
"12183630","1","2","x ray crystallography"
"10913161","5","6","two hybrid"
"8985253","1","2","coimmunoprecipitation"
"12167862","9","7","coimmunoprecipitation"
"12067710","2","2","coimmunoprecipitation,two hybrid"
"10373438","1","2","anti bait coimmunoprecipitation"
"12208510","1","2","coimmunoprecipitation"
"8617811","2","3","pull down,two hybrid"
"12202226","2","3","pull down"
"9065479","1","2","two hybrid"
"11602612","1","2","coimmunoprecipitation"
"12438239","7","8","pull down"
"9111084","2","3","two hybrid"
"12177059","2","3","coimmunoprecipitation"
"10102273","2","3","anti tag coimmunoprecipitation,protein kinase assay"
"12042314","2","3","coimmunoprecipitation"
"12501243","1","2","pull down"
"10404223","1","2","nuclear magnetic resonance"
"12535517","1","2","coimmunoprecipitation,tandem affinity purification"
"9857189","2","3","pull down"
"9741631","2","3","anti tag coimmunoprecipitation,pull down,surface plasmon resonance"
"12468542","2","3","coimmunoprecipitation,two hybrid"
"10775038","1","2","coimmunoprecipitation,two hybrid"
"10524633","1","2","coimmunoprecipitation,fluorescence microscopy"
"7479742","1","2","coimmunoprecipitation,filter binding"
"12220632","1","2","coimmunoprecipitation,pull down"
"12589811","2","3","lex a dimerization assay,two hybrid"
"12595070","1","2","fluorescence microscopy"
"12595692","1","2","coimmunoprecipitation,pull down"
"12437930","1","2","two hybrid"
"12657644","1","2","two hybrid"
"11943150","2","3","pull down"
