"pvalue_degree","pvalue_bait","num_inter","n_proteins","n_NA_degree","n_NA_bait"
0.04,0.01,19926,5888,0,0
0,0.2,13471,5956,0,0
0,0.03,26175,7175,0,0
0,0.08,34398,7172,0,0
0,0,79397,12353,0,0
0,0,12540,5609,0,0
0,0.68,81107,12379,0,0
0,NA,18714,5801,0,NA
0,0.01,82952,12239,0,0
0,0,43859,8246,0,0
0.3,0.22,24228,6565,0,0
0.02,0,29053,7649,0,0
0.09,0.9,24479,7220,0,0
0.31,0.58,24826,7601,0,0
0.09,0.77,71884,11964,0,0
0,0.22,74096,12009,0,0
0.21,0,32648,7382,0,0
0.02,0,23800,7484,0,0
0.13,0.82,27852,7471,0,0
0.18,0.04,32678,7310,0,0
0,0.34,79421,12323,0,0
0.5,0.5,30141,7321,0,0
0.71,0.61,23739,6616,0,0
0.13,0.31,21771,6424,0,0
0.35,0,35216,6938,0,0
0.61,0.59,34714,7534,0,0
0.25,0.14,38741,7534,0,0
0,0.78,25125,6789,0,0
0,0.6,78429,12272,0,0
0,0.49,93683,13003,0,0
0.08,0.03,33747,7772,0,0
0.03,0.14,32971,7037,0,0
0,0,74689,12069,0,0
0.03,0.06,85649,12563,0,0
0.23,0.9,30509,8275,0,0
0.26,0.95,25928,6850,0,0
0,0.59,27434,6401,0,0
0,0,91035,12786,0,0
0.03,0.35,29601,7790,0,0
0.31,0.21,20208,6203,0,0
0,0.23,25223,6803,0,0
0.04,0.35,22625,7324,0,0
0.57,0.38,31496,6536,0,0
0,0.7,17491,6849,0,0
0,0.33,30202,7157,0,0
0.2,0.06,35056,7378,0,0
0,0.66,28763,7552,0,0
0.01,0.07,39454,7986,0,0
0.11,0,24462,6915,0,0
0.05,0.44,36815,8498,0,0
0.35,0.24,29195,7468,0,0
0,0,73528,11933,0,0
0.58,0,26197,6355,0,0
0.15,0.42,22327,6760,0,0
0.04,0.19,28031,8494,0,0
0.6,0.14,28866,6820,0,0
0,0,92564,12645,0,0
0,0,44160,8363,0,0
0.18,0.85,26630,6711,0,0
0,0,81901,12613,0,0
0.05,0.66,26023,6028,0,0
0.02,0,22210,7161,0,0
0,0,21081,6383,0,0
0.09,0.55,34812,7914,0,0
0.02,0,34609,8053,0,0
0,0.81,20103,5429,0,6
0.01,0,19798,6095,0,0
0.31,0.74,31531,7705,0,0
0,0.3,29041,6705,0,0
0,0.03,17171,5696,0,0
0.02,0,34297,7626,0,0
0,0.5,25083,6371,0,0
0.76,0,15375,6086,0,0
0,0,73596,12670,0,0
0.08,0.78,24521,6892,0,0
0.09,0.24,29635,7730,0,0
0,0.05,28739,6645,0,0
0.01,0.89,24432,7948,0,0
0.12,0,24136,6974,0,0
0.11,0.95,89363,12440,0,0
0.01,0.09,45215,7549,0,0
0,0.83,86326,12457,0,0
0,0,82064,12379,0,0
0,0.83,16067,5839,0,0
0,0.7,25530,6980,0,0
0.03,0.08,30355,7673,0,0
0.36,0.24,33850,7482,0,0
0.44,0.87,30831,7157,0,0
0.1,0,77209,12126,0,0
0.1,0,22551,7576,0,0
0,0.89,92079,12865,0,0
0.33,0,25679,7054,0,0
0.13,0.38,27260,6348,0,0
0.07,0.66,46912,7805,0,0
0.38,0,11472,4968,0,0
0.02,0,32328,7665,0,0
0,0.72,28558,8019,0,0
0.01,0,23052,7034,0,0
0,0.46,72347,12185,0,0
0,0,23293,6583,0,0
0.22,0.14,29585,8036,0,0
0,0.11,12055,4965,0,0
0.01,0.82,26004,6810,0,0
0,0,91156,12440,0,0
0.01,0.03,82874,12256,0,0
0,0,19716,6010,0,0
0,0,31368,7508,0,0
0.35,0,28009,7388,0,0
0.03,0.5,30521,7705,0,0
0,0.17,81731,12315,0,0
0,0.19,34449,7168,0,0
0.39,0.02,18011,5970,0,0
0,0,24977,7392,0,0
0.48,0.01,87595,12779,0,0
0.16,0.06,80640,12219,0,0
0.03,0,26026,6732,0,0
0,0.94,28125,7653,0,0
0.03,0,37651,8591,0,0
0.01,0.86,85158,12892,0,0
0.19,0.49,23853,7375,0,0
0.3,0,22665,6168,0,0
0.26,0,17298,5808,0,0
0.28,0,51953,9264,0,0
0.31,0.19,95140,12815,0,0
0.01,0.14,29947,6815,0,0
0,0.28,19219,6484,0,0
0.1,0.26,32507,7933,0,0
0,0,22519,6519,0,0
0.96,0.36,30683,7779,0,0
0,0.54,21113,6114,0,0
0,0.09,89178,12412,0,0
0.33,0.08,29919,6963,0,0
0,0.59,27768,7153,0,0
0,0,37162,7843,0,0
0.03,0.48,27668,7359,0,0
0.04,0,23691,6755,0,0
0,0,75298,12111,0,0
0,0.54,21552,7308,0,0
0,0.36,28111,7248,0,0
0,0,43637,7995,0,0
0,0.71,21620,6137,0,1
0,0,80843,12867,0,0
0.72,0,30068,8024,0,0
0.01,0,39687,7754,0,0
0,0,28305,7077,0,0
0,0.09,76932,12164,0,0
0.06,0,81975,12314,0,0
0.03,0,30482,6799,0,0
0,0.6,32159,7483,0,0
0,0.59,79647,12899,0,0
0.71,0.47,15281,5836,0,0
0.6,0,77279,12106,0,0
0.22,0.81,30324,7093,0,0
0.1,0.56,25710,7165,0,0
0,0.36,83234,12531,0,0
0,0.74,45160,8278,0,0
0,0.08,75211,12434,0,0
0.7,0.65,30739,6572,0,0
0.04,0.05,88871,13043,0,0
0,0.45,79055,12245,0,0
0.29,0,83853,12396,0,0
0.04,0.47,26413,6483,0,0
0,0.6,73679,12052,0,0
0,0.07,31978,6927,0,0
0,0,92421,13318,0,0
0.21,0.95,92432,12620,0,0
0,0.07,73961,12362,0,0
0,0.28,23160,7463,0,0
0.01,0.01,34323,8064,0,0
0.04,0.06,30748,7667,0,0
0.23,0.04,92602,12940,0,0
0,0,89560,12860,0,0
0.02,0.62,26840,7917,0,0
0,0.03,27322,7150,0,0
0,0.9,93916,12966,0,0
0.02,0,27212,8051,0,0
0.56,0.95,28858,7176,0,0
0.24,0,23612,6984,0,0
0.03,0,23924,6964,0,0
0.75,0.61,34414,8258,0,0
0.05,0.26,83485,12304,0,0
0.01,0.95,30535,8035,0,0
0.54,0,25236,7158,0,0
0.4,0,97604,12724,0,0
0.06,0.57,34313,7389,0,0
0.14,0,25511,5986,0,0
0.31,0.22,35653,8449,0,0
0.41,0,27553,6393,0,0
0.36,0,17195,5545,0,0
0.41,0.81,35397,8614,0,0
0.11,0.99,29479,7610,0,0
0.02,0,34651,6922,0,0
0.01,0.18,27931,7118,0,0
0,0,78566,12414,0,0
0,0.13,79828,12066,0,0
0.34,0.33,35732,8439,0,0
0.03,0.36,28332,6897,0,0
0.11,0.17,29668,7374,0,0
0.22,0,16522,6489,0,0
0.71,0.53,19912,7123,0,0
0.7,0,15133,6266,0,0
0.18,0.55,22930,7422,0,0
0.23,0.3,38337,8313,0,0
0,0.12,41042,8408,0,0
0,0,30960,7013,0,0
0.21,0.16,84204,12530,0,0
0,0.18,83594,12492,0,0
0.04,0.7,30850,6874,0,0
0,0,34167,7186,0,0
0.01,0,20503,5258,0,0
0.03,0.29,80592,11964,0,0
0.08,0.4,19944,6872,0,0
0,0.15,80162,12538,0,0
0.41,0.67,17452,5679,0,0
0.07,0.7,27422,7362,0,0
0.01,0,74333,12533,0,0
0,0,31372,7413,0,0
0,0,72764,11966,0,0
0,0.14,85826,12569,0,0
0.33,0,22755,6642,0,0
0.61,0,24370,6123,0,0
0.08,0,38059,7534,0,0
0,0.09,31785,6906,0,0
0.03,0,35502,7908,0,0
0.03,0.51,23908,6650,0,0
0,0,26358,7074,0,0
0.01,0.28,32002,8349,0,0
0.74,0,25178,7406,0,0
0.03,0.42,38878,7810,0,0
0,0.03,74608,12026,0,0
0,0.66,75422,12330,0,0
0,0.78,89613,12287,0,0
0,0,84922,12350,0,0
0.35,0.19,31628,6911,0,0
0.01,0.79,19978,6421,0,0
0,0.01,29250,6840,0,0
0,0,87735,12610,0,0
0.01,0.89,90664,13055,0,0
0.01,0,21341,6460,0,0
0.15,0.01,30857,7185,0,0
0.39,0.85,13016,5071,0,1
0,0,19555,6302,0,0
0,0,36985,7998,0,0
0.01,0.31,26807,6468,0,0
0,0.29,42515,8108,0,0
0,0,91112,12320,0,0
0.16,0,31683,8321,0,0
0,0.24,20098,6253,0,0
0,0.71,35058,6876,0,0
0,0,37611,7873,0,0
0.03,0.01,79926,12799,0,0
0.32,0,30250,7904,0,0
0.46,0.91,19147,6466,0,0
0,0.63,83366,12468,0,0
0.45,0.71,80546,12421,0,0
0,0,23254,7811,0,0
0.13,0.69,21273,6190,0,0
0.1,0.04,19522,6257,0,0
0.45,0.6,29662,7574,0,0
0.3,0.54,25036,6918,0,0
0,0.74,33626,7168,0,0
0,0,74385,12026,0,0
0,0.08,79950,12394,0,0
0,0.06,79638,12263,0,0
0,0.25,105193,12808,0,0
0.16,0,21560,7366,0,0
0.52,0,27542,7609,0,0
0,0.01,77339,12413,0,0
0.04,0,12012,5502,0,0
0.38,0.07,35821,7650,0,0
0,0.21,24838,6346,0,0
0.16,0.33,28682,7000,0,0
0.19,0.98,34984,7110,0,0
0,0.47,83523,13078,0,0
0.24,0,35882,8255,0,0
0.59,0,36863,7996,0,0
0.19,0,20533,6932,0,0
