"pvalue_degree","pvalue_bait","num_inter","n_proteins","n_NA_degree","n_NA_bait"
0,0.33,94253,11615,0,0
0.3,0.31,123635,14019,0,0
0.04,0.61,138106,14070,0,0
0.02,0.81,80659,10771,0,0
0,0.55,123405,13954,0,0
0.14,0,131439,14003,0,0
0.07,0,138400,14239,0,0
0,0.15,140251,14010,0,0
0.25,0.97,138203,13709,0,0
0,0,145788,14264,0,0
0,0.86,129195,13674,0,0
0.01,0.37,86755,11337,0,0
0,0.47,134562,13809,0,0
0.06,0.01,135534,14134,0,0
0.15,0.13,135754,13653,0,0
0,0.27,139700,14046,0,0
0,0.85,81738,10782,0,0
0.06,0,139219,14020,0,0
0,0.14,130462,14003,0,0
0.04,0.52,138534,13950,0,0
0.22,0.12,129864,14095,0,0
0,0.72,77198,10710,0,0
0.04,0.01,84729,10946,0,0
0.11,0.68,138142,14036,0,0
0,0,137567,14027,0,0
0.16,0.96,134326,14008,0,0
0.18,0.83,127743,13799,0,0
0,0,132816,14168,0,0
0.01,0,141772,14230,0,0
0.31,0.59,139972,14184,0,0
0.04,0.41,142237,14151,0,0
0.08,0.85,132127,14048,0,0
0.4,0.16,130261,14046,0,0
0,0.52,133486,13990,0,0
0.07,0.62,141250,14206,0,0
0,0.76,90038,11473,0,0
0.15,1,132295,13799,0,0
0.06,0.05,145118,14236,0,0
0.01,0.62,84648,11373,0,0
0,0.16,78771,10982,0,0
0.25,0.91,131624,13835,0,0
0.23,0.68,124940,13937,0,0
0.27,0.94,136336,14102,0,0
0.02,0.41,139467,14141,0,0
0.08,0,128309,13749,0,0
0.03,0,134751,14025,0,0
0,0.1,131913,13697,0,0
0,0.12,79458,11303,0,0
0,0.08,131499,13986,0,0
0,0.73,134134,14128,0,0
0.09,0.05,77368,11256,0,0
0.07,0.06,136176,14150,0,0
0,0.35,88241,11454,0,0
0.09,0.49,77316,10763,0,0
0,0.05,86307,11368,0,0
0,0.24,137046,14149,0,0
0.07,0,138887,13891,0,0
0,0.25,88285,11468,0,0
0,0.64,93553,11575,0,0
0.01,0.94,140427,14160,0,0
0.43,0.79,79826,10903,0,0
0,0.7,133692,14135,0,0
0.17,0.81,132249,13781,0,0
0,0.16,82315,10974,0,0
0.01,0.84,94697,11530,0,0
0.47,0.24,132269,13744,0,0
0.17,0.78,138266,13756,0,0
0.01,0.46,135345,14148,0,0
0.08,0.94,145691,14092,0,0
0.55,0.5,133043,14178,0,0
0,0.05,140010,13899,0,0
0,0.75,131719,13930,0,0
0,0.74,133711,14115,0,0
0.26,0,123420,14135,0,0
0.32,0.17,137308,14120,0,0
0.01,0.96,87261,11419,0,0
0.27,0.54,135565,14142,0,0
0.17,0.61,79077,11206,0,0
0.03,0,140434,13961,0,0
0.03,0.04,139419,14209,0,0
0.17,0.41,137374,14140,0,0
0.01,0.48,142754,13922,0,0
0.04,0.07,137794,13804,0,0
0.07,0.53,141648,14068,0,0
0.03,0.99,142042,14155,0,0
0.56,0.74,140598,14090,0,0
0.22,0.97,139170,14166,0,0
0.06,0.94,123129,13817,0,0
0.02,0,122739,13803,0,0
0.12,0.37,89123,11470,0,0
0.5,0,139383,14040,0,0
0.42,0,140453,14191,0,0
0.03,0,136162,14120,0,0
0.01,0.85,142445,14279,0,0
0,0,83946,11166,0,0
0,0.02,89867,11409,0,0
0.05,0.39,145623,14213,0,0
0.06,0,141520,13863,0,0
0,0.23,125266,13946,0,0
0.08,0.91,134083,14051,0,0
0.18,0,81024,11346,0,0
0.02,0,141711,13971,0,0
0.04,0.05,134704,14239,0,0
0.04,0.19,137078,14006,0,0
0,0.22,134795,14094,0,0
0,0.58,85675,11404,0,0
0.16,0.59,132315,13868,0,0
0.24,0.13,140873,14215,0,0
0.1,0.56,137818,14151,0,0
0.13,0.12,143460,13884,0,0
0,0,136853,14051,0,0
0.09,0.5,141891,14257,0,0
0,0.84,72979,11309,0,0
0.33,0.21,141778,14091,0,0
0.03,0,138833,14051,0,0
0,0.89,72867,10702,0,0
0.14,0,138005,14014,0,0
0.05,0.99,146212,14198,0,0
0,0.02,135376,14130,0,0
0.1,0.96,138919,14020,0,0
0,0,125786,14045,0,0
0,0.01,85720,11425,0,0
0.1,0.06,140631,14201,0,0
0,0.3,142454,14218,0,0
0.13,0,136118,14164,0,0
0.17,0.23,83829,10650,0,0
0.01,0.61,129244,14044,0,0
0.01,0.93,125915,13984,0,0
0,0.85,131174,14096,0,0
0,0.6,139777,14128,0,0
0,0.52,137753,14130,0,0
0.38,0.75,132867,13959,0,0
0.08,0.24,133192,14126,0,0
0.28,0.46,139288,13811,0,0
0,0.51,80738,11124,0,0
0,0.81,125424,13611,0,0
0.44,0.67,130798,13807,0,0
0.02,0.02,125560,14028,0,0
0.06,0.87,121157,13786,0,0
0.04,0.61,84434,11308,0,0
0,0,81512,11311,0,0
0.02,0.38,132189,14000,0,0
0.38,0.05,81686,10852,0,0
0.41,0,142371,14155,0,0
0.22,0,144112,14198,0,0
0.03,0.46,139956,14053,0,0
0.01,0,129516,14112,0,0
0,0.73,133030,14013,0,0
0,0.77,133473,13949,0,0
0.11,0.91,138500,14002,0,0
0,0.41,76117,11150,0,0
0.49,0.52,131730,13796,0,0
0.12,0.95,141160,14191,0,0
0.02,0.64,141707,14125,0,0
0.03,0.96,138944,14120,0,0
0.52,0,133779,14127,0,0
0,0.64,123497,13874,0,0
0.02,0,145206,14157,0,0
0,0.99,143138,14206,0,0
0.16,0.59,143270,14014,0,0
0.02,0.29,124219,13924,0,0
0.02,0.01,79531,10578,0,0
0.09,0.74,140062,14128,0,0
0,0.67,139378,14117,0,0
0.03,0.89,143018,14195,0,0
0.44,0.37,132360,14163,0,0
0.38,0.74,122237,14019,0,0
0.42,0,135516,14072,0,0
0,0.8,87868,11077,0,0
0.03,0,148039,14270,0,0
0.05,1,140705,14186,0,0
0.11,0.59,139496,13979,0,0
0.43,0.85,126324,13982,0,0
0,0,135592,13793,0,0
0.07,0.39,141986,14075,0,0
0,0.78,124360,14023,0,0
0.11,0.66,126515,13898,0,0
0,0.18,74324,11017,0,0
0.62,0.41,124081,13936,0,0
0,0.9,136071,13980,0,0
0.39,0.7,134264,14074,0,0
0.06,0.49,132172,14078,0,0
0.12,0.68,79509,10979,0,0
0.31,0.43,146182,14165,0,0
0.01,0.44,128289,14106,0,0
0.28,0.04,133593,13643,0,0
0,0,86544,11418,0,0
0.11,0.15,141881,13708,0,0
0.33,0.04,135500,14000,0,0
0.11,0.16,140063,14042,0,0
0.06,0.02,138653,13975,0,0
0.03,0.65,130309,13468,0,0
0.17,0.49,133343,14137,0,0
0,0.36,125942,14041,0,0
0.21,0.17,136495,14124,0,0
0.4,0.33,128803,13847,0,0
0.01,0.95,131068,14195,0,0
0.03,0.54,73616,11156,0,0
0,0.62,83719,11043,0,0
0.22,0.65,87755,11150,0,0
0.25,0.36,135227,14117,0,0
0.02,0,135828,14031,0,0
0.27,0.44,138157,13964,0,0
0.06,0.19,146608,14100,0,0
0.07,0,95187,11525,0,0
0.11,0.45,135513,14203,0,0
0.06,0.65,138657,14134,0,0
0,0.78,88535,11024,0,0
0.28,0,136765,14144,0,0
0.15,0.26,128621,14044,0,0
0.44,0.56,141323,14228,0,0
0,0.72,126288,14087,0,0
0.18,0.24,133181,14033,0,0
0.09,0.28,135903,13821,0,0
0,0.61,88832,11276,0,0
0.1,0.61,130482,14009,0,0
0.09,0.08,140177,14006,0,0
0.54,0.81,144011,14035,0,0
0.01,0.12,124871,13940,0,0
0,0.77,132128,14000,0,0
0.11,0.04,84335,11231,0,0
0.13,0.41,135480,13660,0,0
0,0.36,136486,13727,0,0
0,0.01,81937,11183,0,0
0.53,0.36,135124,13685,0,0
0,0.69,127038,14141,0,0
0.05,0.55,147794,14239,0,0
0.19,0.73,77993,10786,0,0
0,0.49,134897,14198,0,0
0.33,0.43,141933,13986,0,0
0,0.44,125428,13761,0,0
0,0.3,135752,13924,0,0
0,0.83,142366,14232,0,0
0.11,0.02,139040,13792,0,0
0,0.87,134709,14135,0,0
0.27,0.86,141175,13777,0,0
0,0.74,134561,14112,0,0
0.04,0.92,141401,14122,0,0
0.04,0.19,91560,11433,0,0
0,0.8,124261,13629,0,0
0,0.86,123339,13574,0,0
0,0.91,78749,11164,0,0
0.33,0,139865,13938,0,0
0.01,0.46,122660,13825,0,0
0.38,0.5,137494,14131,0,0
0.42,0.24,135928,14002,0,0
0.01,0.46,72593,11124,0,0
0,0.58,121811,13953,0,0
0.04,0.67,136365,13629,0,0
0.06,0.76,139409,14055,0,0
0,0,135333,14102,0,0
