"bait_uniprot","bait_symbol","bait_usage","degree_bait","normaliz_bait","degree","normaliz_degree"
"Q15004","PCLAF",1,2,2,805,805
"P14866","HNRNPL",2,5,2.5,1523,761.5
"Q7L2J0","MEPCE",1,2,2,740,740
"O75147","OBSL1",1,1,1,619,619
"Q9H0W5","CCDC8",1,1,1,546,546
"A8MQ03","CYSRT1",1,66,66,490,490
"P78317","RNF4",3,3,1,1291,430.333333333333
"Q15717","ELAVL1",4,9,2.25,1703,425.75
"Q14258","TRIM25",5,5,1,2062,412.4
"Q86X19","TMEM17",1,400,400,406,406
"Q9BXK1","KLF16",1,380,380,406,406
"Q02878","RPL6",1,31,31,390,390
"Q96T52","IMMP2L",1,375,375,381,381
"Q14142","TRIM14",1,7,7,362,362
"P05141","SLC25A5",1,1,1,355,355
"Q86UK7","ZNF598",1,3,3,349,349
"Q9HCE1","MOV10",3,15,5,1020,340
"Q9NRC8","SIRT7",2,2,1,669,334.5
"Q15029","EFTUD2",4,8,2,1299,324.75
"Q07020","RPL18",1,85,85,320,320
"Q16778","H2BC21",1,1,1,320,320
"P62829","RPL23",1,1,1,319,319
"O15205","UBD",2,2,1,636,318
"Q14999","CUL7",2,2,1,636,318
"P62701","RPS4X",1,2,2,312,312
"Q9UQ35","SRRM2",1,4,4,311,311
"P08559","PDHA1",1,235,235,311,311
"Q9H6Z9","EGLN3",4,223,55.75,1242,310.5
"P50990","CCT8",1,7,7,303,303
"O95758","PTBP3",1,274,274,298,298
"P46777","RPL5",1,1,1,298,298
"P50914","RPL14",1,59,59,296,296
"Q6NUN9","ZNF746",1,1,1,295,295
"Q9P2P5","HECW2",1,1,1,294,294
"P31689","DNAJA1",1,4,4,292,292
"Q02539","H1-1",1,55,55,291,291
"Q8TDD2","SP7",1,280,280,290,290
"Q9UGI8","TES",1,2,2,286,286
"P62917","RPL8",1,23,23,284,284
"Q14197","MRPL58",1,214,214,280,280
"O75031","HSF2BP",1,68,68,279,279
"Q6ZU80","CEP128",1,268,268,278,278
"P62424","RPL7A",1,1,1,277,277
"P62888","RPL30",1,71,71,276,276
"P62277","RPS13",1,1,1,275,275
"P62280","RPS11",1,4,4,274,274
"P60369","KRTAP10-3",1,4,4,271,271
"Q00325","SLC25A3",1,1,1,271,271
"Q8NCK7","SLC16A11",2,530,265,530,265
"P46781","RPS9",1,24,24,263,263
"P68371","TUBB4B",1,1,1,254,254
"O00159","MYO1C",1,109,109,253,253
"O76011","LOC100653049",1,21,21,253,253
"P61221","ABCE1",1,1,1,253,253
"Q9C0B5","ZDHHC5",2,470,235,491,245.5
"O14980","XPO1",5,11,2.2,1226,245.2
"Q9BV73","CEP250",1,1,1,244,244
"P30050","RPL12",1,1,1,244,244
"Q8IWL3","HSCB",3,726,242,730,243.333333333333
"Q96LU5","IMMP1L",1,235,235,237,237
"P68133","ACTA1",1,7,7,225,225
"P50897","PPT1",1,7,7,225,225
"P60866","RPS20",1,1,1,224,224
"Q7Z3S9","NOTCH2NLA",1,3,3,224,224
"P05387","RPLP2",1,1,1,223,223
"P19320","VCAM1",3,621,207,666,222
"Q4G0J3","LARP7",4,26,6.5,886,221.5
"Q9BRS2","RIOK1",2,9,4.5,442,221
"Q562R1","ACTBL2",1,21,21,220,220
"Q5JX71","FAM209A",1,1,1,220,220
"Q9H9S0","NANOG",1,1,1,220,220
"Q6IQ23","PLEKHA7",3,588,196,655,218.333333333333
"P61353","RPL27",1,2,2,216,216
"P45880","VDAC2",1,1,1,216,216
"P04629","NTRK1",9,11,1.22222222222222,1938,215.333333333333
"Q14839","CHD4",3,18,6,643,214.333333333333
"P29401","TKT",1,28,28,214,214
"Q7KZN9","COX15",1,176,176,214,214
"P42766","RPL35",1,2,2,213,213
"P62841","RPS15",1,1,1,211,211
"P46778","RPL21",1,3,3,210,210
"P0DPK4",NA,1,2,2,210,210
"P09622","DLD",2,316,158,408,204
"Q92499","DDX1",1,1,1,204,204
"P46087","NOP2",1,5,5,203,203
"Q99581","FEV",1,201,201,201,201
"P34931","HSPA1L",1,2,2,201,201
"Q01082","SPTBN1",1,1,1,201,201
"P62987","UBA52",1,6,6,198,198
"Q6P2Q9","PRPF8",3,13,4.33333333333333,591,197
"Q5UIP0","RIF1",1,9,9,197,197
"Q92598","HSPH1",1,1,1,193,193
"P34947","GRK5",1,1,1,192,192
"P61604","HSPE1",1,9,9,191,191
"P06733","ENO1",2,29,14.5,379,189.5
"Q92731","ESR2",13,452,34.7692307692308,2459,189.153846153846
"O95714","HERC2",2,64,32,376,188
"Q99460","PSMD1",1,1,1,188,188
"Q9C002","C15orf48",1,174,174,187,187
"Q6A162","KRT40",2,8,4,374,187
"Q12931","TRAP1",1,1,1,186,186
"P51957","NEK4",3,530,176.666666666667,557,185.666666666667
"P05386","RPLP1",1,6,6,185,185
"Q8TDT2","GPR152",1,10,10,185,185
"P62241","RPS8",2,59,29.5,367,183.5
"Q9BQG0","MYBBP1A",1,1,1,183,183
"Q96H55","MYO19",1,153,153,182,182
"Q3ZCQ8","TIMM50",1,19,19,181,181
"Q15084","PDIA6",1,8,8,181,181
"Q13595","TRA2A",1,70,70,180,180
"Q07627","KRTAP1-1",1,1,1,180,180
"O14979","HNRNPDL",1,10,10,179,179
"P15880","RPS2",2,52,26,357,178.5
"Q9Y5M8","SRPRB",1,40,40,177,177
"Q86VP6","CAND1",4,562,140.5,707,176.75
"P28066","PSMA5",1,2,2,175,175
"P62736","ACTA2",1,1,1,174,174
"Q8N3V7","SYNPO",1,131,131,173,173
"Q3LI66","KRTAP6-2",1,23,23,173,173
"O43175","PHGDH",1,3,3,172,172
"Q13347","EIF3I",1,18,18,172,172
"Q7Z7A1","CNTRL",1,151,151,170,170
"Q12857","NFIA",1,100,100,170,170
"P47756","CAPZB",1,3,3,170,170
"P46013","MKI67",3,410,136.666666666667,509,169.666666666667
"Q6K0P9","PYHIN1",2,121,60.5,338,169
"P28331","NDUFS1",1,16,16,169,169
"Q15650","TRIP4",1,3,3,169,169
"Q00839","HNRNPU",4,222,55.5,674,168.5
"P38606","ATP6V1A",1,54,54,168,168
"Q09666","AHNAK",1,2,2,168,168
"P61160","ACTR2",1,42,42,168,168
"P13473","LAMP2",2,257,128.5,335,167.5
"Q9NY72","SCN3B",1,66,66,167,167
"Q8IUG1","KRTAP1-3",1,1,1,167,167
"P62753","RPS6",3,252,84,494,164.666666666667
"Q5T7N2","L1TD1",2,325,162.5,329,164.5
"P61254","RPL26",1,6,6,163,163
"Q9NVP1","DDX18",1,3,3,163,163
"P17066","HSPA6",1,1,1,163,163
"Q8TED1","GPX8",1,1,1,162,162
"P68366","TUBA4A",2,7,3.5,323,161.5
"Q9NQ55","PPAN",1,72,72,161,161
"O95600","KLF8",2,313,156.5,321,160.5
"Q6NUS6","TCTN3",2,302,151,319,159.5
"Q92624","APPBP2",1,1,1,158,158
"Q9UBX2","DUX4",1,149,149,158,158
"P25705","ATP5F1A",2,55,27.5,316,158
"O00567","NOP56",2,124,62,315,157.5
"P55084","HADHB",1,4,4,156,156
"P82933","MRPS9",1,3,3,156,156
"P05023","ATP1A1",2,3,1.5,310,155
"P21281","ATP6V1B2",1,1,1,154,154
"O00410","IPO5",1,1,1,153,153
"Q14697","GANAB",1,10,10,152,152
"P52732","KIF11",1,73,73,151,151
"Q9Y6C9","MTCH2",1,2,2,151,151
"P78362","SRPK2",4,213,53.25,602,150.5
"Q9UNN5","FAF1",1,18,18,150,150
"P18124","RPL7",2,29,14.5,298,149
"Q3SXY8","ARL13B",1,10,10,149,149
"P06576","ATP5F1B",2,11,5.5,298,149
"P09471","GNAO1",1,1,1,148,148
"Q8NFZ5","TNIP2",6,69,11.5,888,148
"Q9C0F1","CEP44",1,60,60,148,148
"Q9NYL9","TMOD3",1,31,31,147,147
"O15162","PLSCR1",1,1,1,147,147
"O00425","IGF2BP3",1,1,1,147,147
"P39656","DDOST",1,1,1,146,146
"Q9BVS4","RIOK2",2,26,13,292,146
"Q92633","LPAR1",1,96,96,146,146
"Q86VR2","RETREG3",1,26,26,146,146
"O95678","KRT75",1,44,44,146,146
"Q13151","HNRNPA0",1,6,6,145,145
"P07951","TPM2",1,7,7,145,145
"Q7Z3Y8","KRT27",1,1,1,145,145
"P60409","KRTAP10-7",2,9,4.5,286,143
"Q86VM9","ZC3H18",2,198,99,284,142
"P13804","ETFA",1,2,2,142,142
"P47914","RPL29",1,2,2,142,142
"Q6PKG0","LARP1",2,8,4,282,141
"P31040","SDHA",2,122,61,282,141
"Q9UNM6","PSMD13",1,24,24,141,141
"O95425","SVIL",1,1,1,140,140
"Q9Y277","VDAC3",1,6,6,139,139
"P34932","HSPA4",3,4,1.33333333333333,414,138
"Q9Y282","ERGIC3",2,40,20,276,138
"P08865","RPSA",2,19,9.5,276,138
"P57078",NA,3,359,119.666666666667,413,137.666666666667
"Q6ZNJ1","NBEAL2",1,127,127,137,137
"Q9BY14","TEX101",2,271,135.5,274,137
"Q5T749","KPRP",1,35,35,137,137
"P67936","TPM4",1,4,4,137,137
"P47755","CAPZA2",2,201,100.5,273,136.5
"P60328","KRTAP12-3",1,43,43,136,136
"Q02543","RPL18A",2,75,37.5,272,136
"Q9NWS0","PIH1D1",5,43,8.6,678,135.6
"P27824","CANX",5,311,62.2,677,135.4
"P27635","RPL10",3,248,82.6666666666667,406,135.333333333333
"P08195","SLC3A2",1,3,3,135,135
"P05388","RPLP0",2,2,1,268,134
"P82930","MRPS34",1,44,44,134,134
"Q9Y597","KCTD3",1,11,11,134,134
"O14880","MGST3",3,313,104.333333333333,400,133.333333333333
"Q70EL1","USP54",1,10,10,132,132
"O00483","NDUFA4",2,199,99.5,264,132
"Q96EA4","SPDL1",2,4,2,262,131
"P78424","POU6F2",1,21,21,131,131
"Q14684","RRP1B",4,430,107.5,522,130.5
"Q92665","MRPS31",1,16,16,130,130
"Q99613","EIF3C",1,1,1,130,130
"O75208","COQ9",2,204,102,258,129
"Q9Y3I0","RTCB",1,4,4,129,129
"Q9H6H4","REEP4",1,1,1,128,128
"Q92914","FGF11",1,3,3,128,128
"P37108","SRP14",1,1,1,128,128
"Q01813","PFKP",1,1,1,128,128
"P42166","TMPO",3,3,1,381,127
"Q9UKR5","ERG28",1,53,53,127,127
"P12277","CKB",1,1,1,127,127
"P43364","MAGEA11",1,1,1,127,127
"P60410","KRTAP10-8",3,56,18.6666666666667,380,126.666666666667
"P12757","SKIL",1,65,65,126,126
"Q9Y3T9","NOC2L",1,1,1,126,126
"P02675","FGB",1,82,82,126,126
"Q5JTH9","RRP12",1,1,1,126,126
"Q8N1F7","NUP93",1,1,1,125,125
"P52272","HNRNPM",3,5,1.66666666666667,375,125
"Q92522","H1-10",1,1,1,125,125
"P11279","LAMP1",3,314,104.666666666667,374,124.666666666667
"P36957","DLST",3,301,100.333333333333,373,124.333333333333
"Q15323","KRT31",3,7,2.33333333333333,372,124
"Q9Y2R9","MRPS7",1,17,17,124,124
"P81605","DCD",1,1,1,123,123
"Q8N684","CPSF7",1,5,5,123,123
"Q9P0N5","TMEM216",2,242,121,246,123
"Q9H8H2","DDX31",1,58,58,123,123
"Q9BYV6","TRIM55",2,153,76.5,245,122.5
"Q9NQC7","CYLD",5,10,2,611,122.2
"Q9BYQ3","KRTAP9-3",1,58,58,122,122
"P13637","ATP1A3",1,17,17,122,122
"Q504Q3","PAN2",3,11,3.66666666666667,365,121.666666666667
"Q71UM5","RPS27L",1,1,1,121,121
"Q9NRD1","FBXO6",5,46,9.2,605,121
"Q9Y5J3","HEY1",1,3,3,121,121
"O75083","WDR1",1,2,2,121,121
"Q9H6K4","OPA3",1,74,74,121,121
"O43493","TGOLN2",4,438,109.5,482,120.5
"Q9BZE4","GTPBP4",1,1,1,120,120
"Q8IXZ2","ZC3H3",1,53,53,120,120
"Q8TDD1","DDX54",1,1,1,120,120
"P0C7P0","CISD3",1,84,84,120,120
"Q04837","SSBP1",2,48,24,240,120
"P28072","PSMB6",1,2,2,119,119
"O95274","LYPD3",1,69,69,119,119
"P48556","PSMD8",1,3,3,119,119
"P62861",NA,1,1,1,119,119
"P46783","RPS10",2,11,5.5,237,118.5
"Q6UY14","ADAMTSL4",2,22,11,237,118.5
"Q13509","TUBB3",3,110,36.6666666666667,355,118.333333333333
"P15822","HIVEP1",1,1,1,118,118
"P51648","ALDH3A2",1,15,15,118,118
"O75592","MYCBP2",1,29,29,118,118
"P36776","LONP1",1,2,2,118,118
"O94972","TRIM37",1,1,1,117,117
"P63010","AP2B1",3,180,60,351,117
"P01857",NA,1,50,50,116,116
"O75306","NDUFS2",1,3,3,116,116
"O15178","TBXT",1,114,114,116,116
"Q4V328","GRIPAP1",1,16,16,116,116
"Q7Z5P4","HSD17B13",1,1,1,116,116
"Q9Y3B4","SF3B6",1,1,1,116,116
"P12270","TPR",2,2,1,231,115.5
"O95071","UBR5",2,3,1.5,231,115.5
"P61247","RPS3A",3,5,1.66666666666667,346,115.333333333333
"Q9NRI5","DISC1",7,708,101.142857142857,807,115.285714285714
"O95785","WIZ",1,12,12,115,115
"Q16740","CLPP",1,49,49,115,115
"Q08J23","NSUN2",1,8,8,115,115
"P40227","CCT6A",3,11,3.66666666666667,344,114.666666666667
"Q15077","P2RY6",3,340,113.333333333333,344,114.666666666667
"Q5U5Q3","MEX3C",1,64,64,114,114
"Q9Y2K1","ZBTB1",1,4,4,114,114
"Q9Y6Y0","IVNS1ABP",1,4,4,114,114
"Q9HCE5","METTL14",3,332,110.666666666667,341,113.666666666667
"Q9H5K3","POMK",2,196,98,227,113.5
"P26367","PAX6",3,197,65.6666666666667,340,113.333333333333
"Q9BWT7","CARD10",1,13,13,113,113
"Q9H1C4","UNC93B1",3,313,104.333333333333,339,113
"P42356","PI4KA",1,33,33,113,113
"P61081","UBE2M",5,28,5.6,565,113
"P14854","COX6B1",2,27,13.5,226,113
"Q9NUH8","TMEM14B",2,33,16.5,225,112.5
"P54219","SLC18A1",1,43,43,112,112
"Q9BV68","RNF126",1,13,13,112,112
"Q13009","TIAM1",1,6,6,112,112
"O76024","WFS1",4,426,106.5,448,112
"Q99932","SPAG8",1,45,45,112,112
"Q8IVT5","KSR1",4,336,84,447,111.75
"Q8NFD5","ARID1B",1,2,2,111,111
"Q8TCT7","SPPL2B",1,77,77,111,111
"P15313","ATP6V1B1",1,17,17,111,111
"P82675","MRPS5",1,8,8,111,111
"Q9NPF5","DMAP1",1,1,1,111,111
"O75494","SRSF10",1,1,1,111,111
"Q9NTJ3","SMC4",1,2,2,110,110
"Q96A08","H2BC1",1,69,69,110,110
"O43291","SPINT2",1,70,70,110,110
"Q49A26","GLYR1",1,5,5,110,110
"P48643","CCT5",3,35,11.6666666666667,330,110
"Q7Z699","SPRED1",4,401,100.25,440,110
"P28329","CHAT",1,99,99,110,110
"O15552","FFAR2",1,2,2,110,110
"Q99575","POP1",1,5,5,110,110
"Q9GZR7","DDX24",2,25,12.5,220,110
"P35606","COPB2",1,1,1,110,110
"Q92973","TNPO1",1,1,1,109,109
"Q15646","OASL",1,100,100,109,109
"Q9BRK4","LZTS2",3,56,18.6666666666667,326,108.666666666667
"Q9NQX4","MYO5C",1,65,65,108,108
"Q8WWF3","SSMEM1",1,11,11,108,108
"Q96TA2","YME1L1",1,32,32,108,108
"Q16650","TBR1",1,76,76,108,108
"Q99733","NAP1L4",1,1,1,108,108
"Q9Y2X9","ZNF281",1,12,12,107,107
"Q9BRK5","SDF4",1,26,26,107,107
"Q9NYK5","MRPL39",1,39,39,107,107
"O94992","HEXIM1",8,47,5.875,855,106.875
"P38646","HSPA9",5,11,2.2,534,106.8
"Q9NVI7","ATAD3A",3,138,46,320,106.666666666667
"O00555","CACNA1A",1,80,80,106,106
"P49327","FASN",2,3,1.5,212,106
"Q96D09","GPRASP2",1,1,1,106,106
"O43678","NDUFA2",1,1,1,106,106
"P07954","FH",1,6,6,105,105
"Q9Y5L0","TNPO3",1,13,13,105,105
"Q7Z6Z7","HUWE1",5,39,7.8,524,104.8
"Q93008","USP9X",2,3,1.5,209,104.5
"Q3V6T2","CCDC88A",1,21,21,104,104
"Q9H3G5","CPVL",1,6,6,104,104
"Q96E52","OMA1",1,78,78,104,104
"O75925","PIAS1",2,2,1,208,104
"P18583","SON",1,1,1,104,104
"O15144","ARPC2",1,1,1,104,104
"P51858","HDGF",2,111,55.5,207,103.5
"Q9P2H0","CEP126",1,12,12,103,103
"P27816","MAP4",1,3,3,103,103
"P48634","PRRC2A",1,20,20,103,103
"P30566","ADSL",1,1,1,103,103
"Q96RS6","NUDCD1",2,185,92.5,204,102
"Q02809","PLOD1",1,26,26,102,102
"P11177","PDHB",1,12,12,102,102
"P02533","KRT14",1,1,1,102,102
"Q13247","SRSF6",1,2,2,102,102
"Q4LE39","ARID4B",1,4,4,102,102
"P36542","ATP5F1C",2,21,10.5,203,101.5
"P26373","RPL13",3,32,10.6666666666667,303,101
"P09651","HNRNPA1",6,103,17.1666666666667,606,101
"P00338","LDHA",2,3,1.5,202,101
"Q6P5W5","SLC39A4",1,68,68,101,101
"P49585","PCYT1A",1,9,9,101,101
"Q9H7B2","RPF2",1,1,1,101,101
"P23142","FBLN1",1,22,22,101,101
"O94973","AP2A2",1,1,1,101,101
"Q96EP5","DAZAP1",1,2,2,101,101
"P01876",NA,1,36,36,100,100
"Q14696","MESD",1,6,6,100,100
"P22695","UQCRC2",2,4,2,200,100
"Q9H8X2","IPPK",1,96,96,100,100
"O15529","GPR42",1,1,1,100,100
"P24539","ATP5PB",2,21,10.5,199,99.5
"Q8WXH2","JPH3",2,194,97,199,99.5
"Q9UHB6","LIMA1",3,131,43.6666666666667,298,99.3333333333333
"Q9Y5B9","SUPT16H",2,4,2,198,99
"Q13451","FKBP5",2,37,18.5,198,99
"Q9Y266","NUDC",2,8,4,198,99
"Q8N960","CEP120",1,82,82,99,99
"Q7Z7G2","CPLX4",1,8,8,99,99
"Q9UBB4","ATXN10",1,38,38,99,99
"Q16695","H3-4",4,4,1,394,98.5
"P49411","TUFM",3,11,3.66666666666667,295,98.3333333333333
"Q14690","PDCD11",1,2,2,98,98
"P14625","HSP90B1",3,10,3.33333333333333,294,98
"P51970","NDUFA8",1,28,28,98,98
"Q9HD33","MRPL47",1,37,37,98,98
"Q9UKD2","MRTO4",1,3,3,98,98
"P36578","RPL4",3,6,2,294,98
"Q8NE71","ABCF1",1,1,1,98,98
"O75368","SH3BGRL",1,84,84,98,98
"P78371","CCT2",4,9,2.25,390,97.5
"Q12952","FOXL1",2,186,93,195,97.5
"Q9Y5J5","PHLDA3",1,93,93,97,97
"Q7Z6E9","RBBP6",1,18,18,97,97
"Q86T82","USP37",1,3,3,97,97
"Q8N7X8","SIGLECL1",1,95,95,97,97
"O75439","PMPCB",1,3,3,97,97
"Q9UIH9","KLF15",3,243,81,291,97
"P48742","LHX1",1,89,89,97,97
"O00231","PSMD11",2,25,12.5,193,96.5
"Q9ULX6","AKAP8L",2,2,1,193,96.5
"Q9Y3D8","AK6",1,1,1,96,96
"O60763","USO1",1,2,2,96,96
"Q9H2L4","TMEM60",1,95,95,96,96
"O43169","CYB5B",1,42,42,96,96
"P47985","UQCRFS1",1,4,4,96,96
"Q16581","C3AR1",1,91,91,96,96
"Q15165","PON2",1,32,32,96,96
"Q9C026","TRIM9",1,1,1,96,96
"O95718","ESRRB",1,1,1,96,96
"Q9UBB9","TFIP11",3,9,3,287,95.6666666666667
"Q7L2E3","DHX30",2,6,3,191,95.5
"O14654","IRS4",2,48,24,191,95.5
"P61956","SUMO2",17,24,1.41176470588235,1619,95.2352941176471
"Q8NEM0","MCPH1",1,4,4,95,95
"O00443","PIK3C2A",1,9,9,95,95
"Q9UPN3","MACF1",1,1,1,95,95
"Q96JN8","NEURL4",2,137,68.5,190,95
"Q9Y4C4","MFHAS1",1,1,1,95,95
"Q9H582","ZNF644",1,13,13,95,95
"Q96HE9","PRR11",1,59,59,95,95
"Q9BZE1","MRPL37",1,18,18,95,95
"Q5H9R7","PPP6R3",1,2,2,95,95
"P49773","HINT1",1,1,1,95,95
"P18859","ATP5PF",1,3,3,95,95
"Q14525","KRT33B",1,1,1,95,95
"P62851","RPS25",3,6,2,284,94.6666666666667
"Q8IY81","FTSJ3",2,3,1.5,189,94.5
"Q13618","CUL3",13,1018,78.3076923076923,1224,94.1538461538462
"Q9NYU2","UGGT1",1,16,16,94,94
"Q9P0J7","KCMF1",1,7,7,94,94
"P31939","ATIC",1,6,6,94,94
"P04183","TK1",2,152,76,187,93.5
"Q9P035","HACD3",1,4,4,93,93
"Q5T3F8","TMEM63B",1,69,69,93,93
"Q9Y3E0","GOLT1B",2,160,80,186,93
"Q96GX1","TCTN2",3,260,86.6666666666667,279,93
"Q9Y5P2","CSAG3",1,91,91,93,93
"P27482","CALML3",1,1,1,93,93
"P13645","KRT10",1,1,1,93,93
"P55317","FOXA1",3,34,11.3333333333333,278,92.6666666666667
"Q15428","SF3A2",2,105,52.5,185,92.5
"O43181","NDUFS4",1,20,20,92,92
"A8MWD9",NA,1,80,80,92,92
"Q9Y399","MRPS2",1,9,9,92,92
"O00203","AP3B1",1,2,2,92,92
"Q15388","TOMM20",2,130,65,184,92
"Q7KZ85","SUPT6H",1,1,1,92,92
"P55061","TMBIM6",1,59,59,92,92
"Q9H300","PARL",2,173,86.5,183,91.5
"Q6DD88","ATL3",1,42,42,91,91
"O43896","KIF1C",1,11,11,91,91
"O95478","NSA2",1,17,17,91,91
"Q4KMG9","TMEM52B",1,26,26,91,91
"O43491","EPB41L2",1,21,21,91,91
"Q9H3N1","TMX1",1,17,17,91,91
"O43592","XPOT",1,4,4,91,91
"O76094","SRP72",1,1,1,91,91
"Q13887","KLF5",2,121,60.5,181,90.5
"Q15185","PTGES3",2,2,1,181,90.5
"Q9HB71","CACYBP",2,3,1.5,181,90.5
"Q9Y320","TMX2",2,12,6,181,90.5
"P05412","JUN",17,1337,78.6470588235294,1534,90.2352941176471
"Q8WVD3","RNF138",1,3,3,90,90
"Q8IY92","SLX4",2,154,77,180,90
"Q04721","NOTCH2",1,10,10,90,90
"P41218","MNDA",2,154,77,180,90
"P00403","COX2",1,1,1,90,90
"Q03252","LMNB2",1,17,17,90,90
"Q9BYR9","KRTAP2-4",1,6,6,90,90
"Q8TBE3","FNDC9",1,1,1,90,90
"Q9UIG0","BAZ1B",1,2,2,89,89
"Q7Z406","MYH14",1,4,4,89,89
"Q9NP92","MRPS30",1,46,46,89,89
"Q9H8J5","MANSC1",1,86,86,89,89
"Q9H813","PACC1",1,84,84,89,89
"Q10713","PMPCA",1,6,6,89,89
"P52209","PGD",1,1,1,89,89
"Q9NYG5","ANAPC11",1,12,12,89,89
"P01111","NRAS",6,491,81.8333333333333,532,88.6666666666667
"O60884","DNAJA2",2,3,1.5,177,88.5
"P51114","FXR1",4,224,56,354,88.5
"P35250","RFC2",1,2,2,88,88
"Q96FW1","OTUB1",5,314,62.8,440,88
"Q9H1A4","ANAPC1",1,13,13,88,88
"P42696","RBM34",2,78,39,176,88
"Q9HBV2","SPACA1",1,46,46,88,88
"O14949","UQCRQ",1,13,13,88,88
"Q9NQP4","PFDN4",1,25,25,88,88
"P11498","PC",1,2,2,88,88
"Q12849","GRSF1",1,1,1,88,88
"O75369","FLNB",4,12,3,351,87.75
"Q99848","EBNA1BP2",2,16,8,175,87.5
"P55060","CSE1L",2,3,1.5,175,87.5
"Q71U36","TUBA1A",6,242,40.3333333333333,524,87.3333333333333
"P53992","SEC24C",1,1,1,87,87
"Q8IWZ3","ANKHD1",1,1,1,87,87
"P01116","KRAS",8,486,60.75,696,87
"Q99633","PRPF18",1,80,80,87,87
"P34925","RYK",1,3,3,87,87
"P50458","LHX2",2,147,73.5,174,87
"Q99832","CCT7",4,36,9,346,86.5
"P13612","ITGA4",6,12,2,517,86.1666666666667
"O95232","LUC7L3",1,3,3,86,86
"P17987","TCP1",4,11,2.75,344,86
"Q9BZK7","TBL1XR1",1,5,5,86,86
"Q5VZL5","ZMYM4",1,18,18,86,86
"Q58EX7","PLEKHG4",1,1,1,86,86
"Q99661","KIF2C",1,27,27,86,86
"Q86UK5","EVC2",1,83,83,86,86
"Q9ULR0","ISY1",1,3,3,85,85
"P08237","PFKM",1,3,3,85,85
"Q9NRR6","INPP5E",1,2,2,85,85
"Q32P28","P3H1",1,8,8,85,85
"O94832","MYO1D",1,2,2,85,85
"Q8TEX9","IPO4",1,2,2,85,85
"P12235","SLC25A4",1,1,1,85,85
"O95155","UBE4B",1,1,1,85,85
"Q02575","NHLH1",1,75,75,85,85
"Q86SQ0","PHLDB2",1,1,1,85,85
"P35244","RPA3",5,33,6.6,424,84.8
"Q08379","GOLGA2",7,95,13.5714285714286,593,84.7142857142857
"P62081","RPS7",3,8,2.66666666666667,252,84
"Q01844","EWSR1",8,22,2.75,672,84
"Q96EE3","SEH1L",1,35,35,84,84
"P84085","ARF5",1,2,2,84,84
"Q8TBP5","FAM174A",1,43,43,84,84
"Q8WWF5","ZNRF4",1,70,70,84,84
"Q96L92","SNX27",1,43,43,84,84
"Q9BYR8","KRTAP3-1",1,1,1,84,84
"Q13137","CALCOCO2",3,13,4.33333333333333,251,83.6666666666667
"O75955","FLOT1",2,2,1,166,83
"O14617","AP3D1",1,3,3,83,83
"Q8N5S1","SLC25A41",1,63,63,83,83
"Q92838","EDA",1,26,26,83,83
"Q14978","NOLC1",2,5,2.5,166,83
"O43255","SIAH2",1,6,6,83,83
"Q9BTZ2","DHRS4",1,12,12,83,83
"Q9BTT0","ANP32E",1,23,23,83,83
"Q5TA81","LCE2C",1,39,39,83,83
"P33778","H2BC3",1,1,1,83,83
"P09972","ALDOC",1,1,1,83,83
"P10412","H1-4",3,75,25,248,82.6666666666667
"Q9NRD5","PICK1",5,102,20.4,413,82.6
"Q12874","SF3A3",2,5,2.5,165,82.5
"O00418","EEF2K",2,13,6.5,165,82.5
"P49736","MCM2",11,26,2.36363636363636,906,82.3636363636364
"P50222","MEOX2",3,3,1,247,82.3333333333333
"P61313","RPL15",3,21,7,247,82.3333333333333
"Q9NR30","DDX21",3,8,2.66666666666667,246,82
"P62906","RPL10A",3,20,6.66666666666667,246,82
"P53611","RABGGTB",1,42,42,82,82
"Q5SZD1","C6orf141",1,71,71,82,82
"Q9UPQ4","TRIM35",1,16,16,82,82
"O60939","SCN2B",1,57,57,82,82
"P82914","MRPS15",1,24,24,82,82
"Q92876","KLK6",2,142,71,164,82
"P59768","GNG2",1,1,1,82,82
"Q9UBR4","LHX3",2,91,45.5,164,82
"O43819","SCO2",1,1,1,82,82
"P34897","SHMT2",6,8,1.33333333333333,491,81.8333333333333
"O15027","SEC16A",3,78,26,245,81.6666666666667
"Q9BVS5","TRMT61B",3,222,74,245,81.6666666666667
"Q12873","CHD3",8,30,3.75,653,81.625
"P10809","HSPD1",9,276,30.6666666666667,734,81.5555555555556
"P62979","RPS27A",3,5,1.66666666666667,244,81.3333333333333
"P35268","RPL22",3,15,5,244,81.3333333333333
"Q9UHF7","TRPS1",1,1,1,81,81
"Q9P0K8","FOXJ2",1,72,72,81,81
"O43711","TLX3",3,224,74.6666666666667,243,81
"Q8TEP8","CEP192",1,1,1,81,81
"Q9BT81","SOX7",1,73,73,81,81
"Q05925","EN1",1,78,78,81,81
"P35527","KRT9",1,1,1,81,81
"Q3LI64","KRTAP6-1",1,17,17,81,81
"Q5T6F2","UBAP2",1,5,5,81,81
"Q96PK6","RBM14",3,6,2,242,80.6666666666667
"P19012","KRT15",2,6,3,161,80.5
"O15155","BET1",4,303,75.75,322,80.5
"P32119","PRDX2",2,6,3,161,80.5
"Q2NL82","TSR1",2,11,5.5,161,80.5
"P42695","NCAPD3",3,186,62,241,80.3333333333333
"Q15118","PDK1",4,266,66.5,321,80.25
