"pubmedID","pvalue","xmin_est","xmax","ntail","len_degree","unique_degree","gof","alpha","n_inter"
"18218625","0.32","2","7","6","7","4","0.204968216255117","2.62863070094016",11
"15802564","0.23","1","6","8","8","5","0.184254472722068","1.80090869512458",11
"15221015","0.12","3","7","9","10","4","0.192080376580522","3.53723505686732",19
"11278902","0.43","1","14","18","18","4","0.0810361503343344","2.16416347112972",21
"8647086","0.26","2","6","6","9","5","0.16852728882217","2.43196748808795",12
"12676926","0.07","1","5","8","8","3","0.295473222154913","1.83413817430576",10
"8662825","0.83","3","6","6","11","5","0.0885446157226627","4.31949674410834",14
"11940657","0.06","1","5","7","7","4","0.352169233524298","1.70250528226605",10
"15232106","0.28","7","17","19","30","12","0.113837001047091","3.34423133112645",124
"14681455","0.21","2","12","109","241","10","0.0406955571387949","2.97072836185788",229
"24855949","0.16","1","13","20","20","5","0.107607825300245","1.99301501201812",24
"15888456","0.52","3","5","6","9","5","0.127705215871263","3.76432879467139",14
"21775429","0.5","2","5","7","8","4","0.147136827080777","2.86680099716411",11
"9653119","0.51","1","8","10","10","4","0.105248204107647","1.99229778355342",12
"23397142","0.34","3","11","21","49","9","0.0881100798125811","2.93157800229473",67
"9756944","0.34","3","5","5","10","5","0.194495531156335","3.77253744416976",13
"15226435","0.53","1","7","10","10","4","0.1033612016575","1.98690716617045",12
"27107012","0","1","55","417","417","27","0.0476890784948877","1.87336546264509",740
"19214185","0.63","2","11","12","14","5","0.0960766370315945","2.38942212019838",26
"15324660","0.01","1","221","249","249","8","0.0353763089119","2.50232331452948",341
"10783161","0.13","2","5","7","9","5","0.252535164678071","2.40034179271071",13
"24412244","0.04","18","45","25","106","26","0.125321622605895","5.89816155917244",621
"22402981","0.09","2","4","6","7","4","0.325315223600698","2.31539729836459",11
"15161933","0","1","259","282","282","4","0.117028225704753","2.49650491861992",383
"22974441","0.36","2","12","18","32","6","0.0796747794966554","2.68738051212223",37
"10092678","0.07","1","6","9","9","3","0.346392764939957","1.79064500875633",12
"24642916","0.19","1","10","15","15","5","0.128128189588852","1.96278899920243",18
"27684187","0","1","352","1226","1226","57","0.0319211141267743","1.82101769446246",3416
"25900982","0","1","169","216","216","4","0.0742353208263903","2.79497225415883",265
"19167335","0.4","6","32","27","47","17","0.0964193967180207","2.68928873052818",179
"9819414","0.59","3","9","7","8","5","0.126706601410388","3.08395998459855",17
"9169421","0.07","3","9","11","15","5","0.201132009301364","3.28516116233909",28
"12606711","0.15","4","14","13","17","8","0.14384373770993","3.05776228711055",47
"25792870","0.15","2","5","7","8","4","0.278900647878856","2.71703975822014",11
"11279102","0.08","1","15","15","15","4","0.151473550895586","1.97473078508329",20
"21982860","0.19","2","7","31","52","7","0.0834622996844245","2.73036207899085",59
"28190768","0.08","1","14","14","14","4","0.162778212430954","1.95324859875329",19
"23169665","0.14","1","9","15","15","7","0.150414745413164","1.69352967399734",28
"22365833","0","6","25","90","196","23","0.0983132530322314","2.69687773452054",632
"20085707","0.03","1","43","44","44","3","0.105439851678914","2.56094294095468",53
"21575865","0.01","1","26","30","30","5","0.126541834732716","2.12343190558074",41
"22863007","0.61","2","11","9","16","5","0.0879959694233956","2.5183848545061",20
"29045831","0.54","1","14","15","15","6","0.0938419433258079","2.00183213767998",20
"15174051","0.01","1","137","211","211","12","0.0398676087432932","2.4846917675644",291
"20227374","0.12","1","5","7","7","5","0.229911461981582","1.74446479398034",10
"16510448","0.09","2","5","6","7","5","0.290140501508316","2.19331877396214",12
"15225636","0.5","3","8","7","7","4","0.143683083555137","2.61909573290485",18
"12376572","0.02","2","15","14","14","3","0.230678900879762","3.04450568586217",26
"9311996","0.34","1","13","14","14","4","0.112355019708803","2.0128599822957",18
"22863883","0","20","42","193","1404","42","0.0720785928999869","4.80719811916795",6738
"29568061","0","2","412","1190","2241","55","0.0582814983149314","2.14208434255023",5708
"16169070","0.57","11","94","132","1709","49","0.0347262609256581","2.61577075366927",3427
"17948026","0.77","11","19","7","21","11","0.111820640764186","5.47407059555858",84
"17189198","0.41","2","13","14","16","7","0.120047788502634","2.06247562215216",37
"28292943","0.82","9","19","11","51","13","0.0698792435219781","5.9828101545569",126
"15231747","0","1","66","330","330","22","0.0546790733712708","2.39237298575192",431
"23455922","0","1","293","1051","1051","60","0.0263516631177061","1.76333596751641",4137
"21903422","0.21","1","37","284","284","20","0.0277078767198476","2.012450593677",409
"17979178","0.43","3","79","13","88","10","0.118348247520598","1.94058975349721",182
"19058874","0.14","1","6","8","8","4","0.206917503612689","1.85473376684825",10
"27086506","0","1","333","437","437","4","0.0164336224357524","4.08276324750952",457
"28065597","0.11","3","319","66","397","24","0.0858319333159023","1.91721540223988",644
