"method","type","pvalue","xmin","alpha"
"AP-MS_Y2H_combined","bait_degree",0.5,62,2.76491142889667
"AP-MS_Y2H_combined","prey_degree",0.53,68,3.61227182376192
"AP-MS_Y2H_combined","total_degree",0.05,75,2.96543126250979
