"pvalue_degree","pvalue_bait","num_inter","n_proteins","n_NA_degree","n_NA_bait"
0.03,0,62326,10011,0,0
0.19,0,103750,13451,0,0
0.71,0.32,45641,9653,0,0
0,0.02,101553,13501,0,0
0,0.31,129205,13907,0,0
0.62,0.58,53889,9727,0,0
0.14,0,113424,13372,0,0
0,0.21,108048,13402,0,0
0,0.07,117894,13672,0,0
0,0.6,102097,13298,0,0
0,0.8,62763,10628,0,0
0.07,0.02,128139,13742,0,0
0,0.2,111731,13462,0,0
0,0.37,108424,13677,0,0
0,0.36,109872,13751,0,0
0.13,0.5,119308,13256,0,0
0,0,108790,13383,0,0
0.25,0.48,70682,9724,0,0
0,0.3,97246,13457,0,0
0.01,0.09,72657,10337,0,0
0.38,0.02,55593,9367,0,0
0.2,0.38,58153,10522,0,0
0,0,63265,10090,0,0
0.05,0.73,98202,13339,0,0
0,0.01,109972,13592,0,0
0.14,0.26,55882,9624,0,0
0.01,0.12,47114,9548,0,0
0.09,0,120095,13615,0,0
0.01,0.31,109649,13325,0,0
0.19,0.73,118442,13311,0,0
0.15,0,102471,13467,0,0
0,0.25,56954,9328,0,0
0.71,0.23,114407,13608,0,0
0,0,47234,9765,0,0
0.03,0.01,56032,9886,0,0
0,0.33,105039,13579,0,0
0,0.85,105363,13328,0,0
0.3,0,115731,13556,0,0
0.43,0.84,109914,13574,0,0
0.03,0.08,49547,9912,0,0
0.12,0.68,48551,9200,0,0
0,0,117263,13564,0,0
0,0.92,123911,13381,0,0
0,0,39811,8339,0,0
0.01,0.78,101562,13056,0,0
0.03,0.57,116668,13138,0,0
0,0.14,53878,9431,0,0
0.43,0.87,100277,13485,0,0
0,0.62,74749,10693,0,0
0.04,0.88,75144,10442,0,0
0.03,0.33,56837,9787,0,0
0.03,0.38,104426,13549,0,0
0.05,0.93,110974,13172,0,0
0,0.43,106876,13163,0,0
0.17,0,64395,9895,0,0
0.07,0.42,108338,13441,0,0
0.62,0.82,43550,9189,0,0
0.87,0,118992,13585,0,0
0.33,0.45,118049,13704,0,0
0.27,0.44,51177,10069,0,0
0.13,0.9,58189,10379,0,0
0.1,0.73,124976,13278,0,0
0.02,0.01,48684,9693,0,0
0,0.28,110118,13511,0,0
0.85,0,115791,13618,0,0
0.1,0.97,65795,10334,0,0
0.01,0.12,58904,9705,0,0
0.18,0.34,110586,13413,0,0
0,0.39,104261,13636,0,0
0.41,0.66,111710,13297,0,0
0.04,0,107033,13495,0,0
0.05,0,75436,9960,0,0
0,0.4,107818,13015,0,0
0.07,0.31,68151,10683,0,0
0,0.35,51793,9238,0,0
0,0,49433,8870,0,0
0.01,0.76,118998,13684,0,0
0,0,62468,10276,0,0
0,0.7,111850,13560,0,0
0.8,0.58,115543,13611,0,0
0.17,0.29,119558,13545,0,0
0,0,121165,13731,0,0
0,0.67,103150,13186,0,0
0,0.09,112952,13567,0,0
0,0.18,64369,9766,0,0
0,0,116181,13772,0,0
0,0,52810,10317,0,0
0,0.84,121245,13755,0,0
0,0.57,75564,10835,0,0
0,0.42,46894,9897,0,0
0.02,0.16,52701,9331,0,0
0.3,0.92,111504,13424,0,0
0,0.04,60974,10087,0,0
0.19,0.22,59036,9705,0,0
0,0.55,106121,13116,0,0
0,0.35,100996,12937,0,0
0,0.94,113821,13182,0,0
0.13,0,108667,13154,0,0
0.69,0.6,111883,13448,0,0
0.04,0.63,71828,10680,0,0
0,0.04,110438,13411,0,0
0.02,0,50310,9765,0,0
0,0.63,121077,13639,0,0
0,0.37,98786,13307,0,0
0,0,122312,13342,0,0
0.54,0.39,116409,13362,0,0
0,0.34,62447,10338,0,0
0.09,0.92,124873,13511,0,0
0,0.49,110190,13368,0,0
0,0.89,67803,10829,0,0
0.01,0,102977,13111,0,0
0,0,102614,13407,0,0
0.1,0.48,46442,9864,0,0
0.12,0.35,107512,13726,0,0
0,0,115055,13654,0,0
0,0.08,66394,9763,0,0
0,0.06,109951,13344,0,0
0.03,0,61906,9274,0,0
0.32,0.94,121318,13856,0,0
0.07,0,61744,10303,0,0
0.22,0,52661,9389,0,0
0,0.52,60371,10197,0,0
0.1,0,66083,9783,0,0
0.26,0.97,43914,9385,0,0
0.87,0.35,62441,10437,0,0
0,0.59,112705,13690,0,0
0.15,0.33,109084,13393,0,0
0.01,0,110388,13452,0,0
0.04,0.29,110134,13351,0,0
0.68,0.94,112457,13593,0,0
0.54,0.13,56823,9572,0,0
0.02,0.36,50928,9784,0,0
0.25,0.04,53358,9777,0,0
0.54,0,62077,9634,0,0
0,0.57,117690,13502,0,0
0.03,0.01,49863,9763,0,0
0.25,0.2,121986,13567,0,0
0,0,113307,13371,0,0
0.01,0.11,109964,13763,0,0
0,0.28,59530,9593,0,0
0.01,0.58,58816,9007,0,0
0,0.02,53991,10121,0,0
0,0,106146,13254,0,0
0.04,0.39,116494,13345,0,0
0.01,0.49,46828,9894,0,0
0,0,118334,13357,0,0
0.02,0.92,61922,10038,0,0
0.48,0,110394,13285,0,0
0,0,65890,10114,0,0
0.01,0.47,103744,13531,0,0
0,0.01,120234,13518,0,0
0.2,0.47,121894,13792,0,0
0.08,0.22,113460,13680,0,0
0,0.8,63972,10585,0,0
0.19,0.03,121439,13293,0,0
0.01,0.31,94945,13587,0,0
0.17,0.75,103294,13051,0,0
0.37,0,60112,9922,0,0
0.08,0,71064,10162,0,0
0,0.02,51799,9892,0,0
0,0.03,97690,13681,0,0
0.04,0.57,103143,13315,0,0
0.19,0.93,58414,10327,0,0
0.02,0.62,59669,10349,0,0
0.24,0.58,65205,9812,0,0
0,0,75926,10532,0,0
0.63,0.64,105819,13357,0,0
0.02,0.35,109431,13140,0,0
0,0,62972,10278,0,0
0.39,0.18,112696,13225,0,0
0.01,0.13,109470,13336,0,0
0,0,132157,13899,0,0
0.02,0,112610,13448,0,0
0.67,0.54,116979,13284,0,0
0.07,0.5,114310,13481,0,0
0,0.35,117134,13592,0,0
0.54,0,110504,13045,0,0
0,0.88,103919,13542,0,0
0.09,0.8,96432,12943,0,0
0.01,0.14,66645,9942,0,0
0.22,0.05,106075,13087,0,0
0,0.45,62129,9924,0,0
0.32,0.12,114107,13614,0,0
0.06,0.63,110778,13657,0,0
0,0.81,98457,13264,0,0
0.23,0.3,56967,9221,0,0
0,0.2,110828,13510,0,0
0.09,0.67,71339,10736,0,0
0.14,0.22,58903,9269,0,0
0,0.05,56555,9823,0,0
0.2,0.53,117673,13636,0,0
0.05,0,89837,12912,0,0
0.09,0.62,106903,13645,0,0
0.03,0.76,52146,9929,0,0
0,0,125287,13477,0,0
0,0,118364,13268,0,0
0.43,0,116892,13622,0,0
0.22,0.27,117298,13542,0,0
0,0.12,107245,13756,0,0
0,0,99335,13200,0,0
0.07,0,114867,13546,0,0
0.01,0.21,113917,13421,0,0
0.2,0.13,118138,13704,0,0
0,0.62,97084,13208,0,0
0,0.45,99495,13049,0,0
0.01,0,52227,10036,0,0
0.35,0.95,53430,9563,0,0
0.01,0.02,52925,9512,0,0
0.03,0,62277,10020,0,0
0,0,50172,9196,0,0
0.18,0.71,106985,12917,0,0
0.08,0.86,60614,10586,0,0
0.11,0.83,49802,9799,0,0
0,0.07,63347,10682,0,0
0.2,0.23,109501,13120,0,0
0,0.69,100166,13174,0,0
0,0.29,111212,13336,0,0
0,0.42,65330,10199,0,0
0.02,0.15,118847,13472,0,0
0.02,0.57,49963,9163,0,0
0,0.15,111112,13583,0,0
0.04,0.12,101573,13545,0,0
0,0.25,94706,13171,0,0
0.1,0.22,128627,13781,0,0
0,1,103766,13736,0,0
0.12,0.15,49557,8522,0,0
0.68,0,109304,13182,0,0
0.03,0.08,105146,13153,0,0
0.41,0.67,123437,13681,0,0
0,0.15,110552,13237,0,0
0,0.93,118644,13358,0,0
0.23,0.42,58146,9998,0,0
0.02,0.04,126341,13923,0,0
0.03,0.22,109305,13157,0,0
0.05,0.36,55909,10042,0,0
0.03,0.78,54042,9737,0,0
0.07,0.5,117822,13232,0,0
0.2,0.84,124622,13957,0,0
0.05,0,101349,13168,0,0
0,0.83,47865,8388,0,0
0.05,0.2,96364,13341,0,0
0.06,0.16,65809,9923,0,0
0.17,0.49,45352,9933,0,0
0.05,0.79,110833,13611,0,0
0,0.7,111553,13259,0,0
0.01,0.01,110851,13324,0,0
0.14,0.02,54613,9950,0,0
0,0.05,46679,10162,0,0
0,0.5,123155,13443,0,0
0.02,0.21,106106,13259,0,0
0.6,0.24,52633,10479,0,0
0.08,0.72,108366,13077,0,0
0.15,0.04,125358,13918,0,0
0.02,0.94,113503,13422,0,0
0.1,0.84,50469,9956,0,0
0,0.18,67866,10160,0,0
0.01,0.67,129875,13619,0,0
0,0.06,62617,9687,0,0
0.44,0.99,106463,13241,0,0
0,0,105839,13321,0,0
0,0,110894,13233,0,0
0.02,0,110092,13361,0,0
0.89,0.28,60213,9790,0,0
0,0.91,49953,8951,0,0
0,0.66,39671,9210,0,0
0,0.01,51133,9713,0,0
0.01,0.59,60662,10042,0,0
0.09,0,117269,13559,0,0
0,0,61017,9728,0,0
0,0,106888,13242,0,0
0.02,0.35,65054,10159,0,0
0,0.46,100161,13574,0,0
0.03,0.57,54944,9670,0,0
0.01,0.67,121493,13470,0,0
0.59,0.77,106300,13253,0,0
0.29,0.59,118428,13644,0,0
0.64,0.01,125117,13638,0,0
0.27,0,131026,13578,0,0
0,0.32,110411,13346,0,0
0,0.02,64562,10323,0,0
0.01,0.71,60419,9450,0,0
0.05,0.48,47123,9451,0,0
0,0.97,50089,9825,0,0
0.25,0.9,105881,13488,0,0
0.71,0.33,107461,13267,0,0
0,0.8,61401,9837,0,0
0,0.23,112171,13068,0,0
0.1,0.48,60748,9763,0,0
0.04,0,62469,10633,0,0
0,0,115962,13521,0,0
0,0.91,56602,9805,0,0
0,0.29,62865,9642,0,0
0.11,0.2,122263,13798,0,0
0.03,0.44,110699,13418,0,0
0,0.96,118162,13810,0,0
0,0.02,41691,9077,0,0
0.05,0.25,62428,10318,0,0
0.05,0.09,105166,13577,0,0
0,0.31,48489,9672,0,0
0,0.48,103404,13592,0,0
0.33,0.06,53780,9116,0,0
0,0.2,109982,13455,0,0
0,0.04,75391,10881,0,0
0.23,0.62,121037,13543,0,0
0,0.45,63057,10333,0,0
0.02,0.7,118396,13727,0,0
0,0.76,49249,9786,0,0
0.52,0.93,110325,13434,0,0
0.04,0.87,57063,9954,0,0
0.01,0,107850,13494,0,0
0.03,0,90347,13266,0,0
0.03,0.94,103965,13368,0,0
0,0.49,121239,13711,0,0
0.03,0.9,120996,13306,0,0
0,0,63046,10655,0,0
0.05,0.37,54512,9984,0,0
0,0,56189,10302,0,0
0.03,0,60125,9237,0,0
