"pvalue","num_inter","n_proteins","xmin","alpha","ntail","pubmedIDs"
"0.65","120920","13753","71","3.07052459571793","646","10092678,10329441,10545207,10608806,10747088,10862698,11279102,11546873,11564863,11585930,11940657,12032305,12242293,12376572,12453419,12577067,12615911,12724401,14532007,14636569,14657022,14968112,15047060,15096576,15174051,15190072,15207703,15231747,15488952,15960975,16115810,16230350,16374509,16484223,16510448,16582099,16620772,16679322,16713569,16730941,16923123,17043677,17141982,17148452,17178841,17235358,17289999,17314511,17353931,17461779,17588522,17716973,17785442,18157088,18255255,18599441,18654987,18729074,18805092,19168127,19193609,19214193,19293945,19343720,19377461,19380743,19470757,19549727,19597476,19615732,19766566,19920073,19995937,20080579,20098423,20186120,20308539,20399188,20434986,20504901,20562864,20603015,20603019,20618440,20808282,20936779,20972456,21044950,21078624,21081503,21113135,21123453,21182203,21199919,21255825,21382349,21653829,21674799,21757351,21988832,22100920,22337587,22365833,22402981,22407294,22446626,22453275,22453919,22558309,22623428,22658674,22863883,22889411,22939629,23091066,23201271,23275563,23414517,23463506,23572552,23658844,23956175,24337577,24344204,24412244,24457600,24606901,24654937,24658140,24811749,24882805,24976009,24981860,25036637,25123934,25281560,25402006,25515538,25517094,25609649,25756610,25900982,25910212,25940091,26186194,26297806,26355680,26382858,26472760,26527279,26593974,26638075,26686862,26816005,26841866,27153538,27193682,27291054,27626385,27637333,27684187,27693506,28190768,28215707,28420882,28611094,28977666,29053956,29100370,29104064,29251827,29467281,29513927,29845934,29867216,29911972,29997244,30021884,30108113,30194290,30824926,31391242,31548606,31694235,31980649,33436498,35016035,7739537,8652557,8657117,9115257,9169421,9325248,9417867,9452425,9472029,9687515,9852078,unassigned1312,unassigned3273"
"0.66","117076","12820","62","2.80103608580666","731","10069390,10220385,10329441,10852826,11163245,11509230,11585930,11745344,11893732,12032298,12192000,12234937,12453419,12522145,12577067,12609980,12614612,12665583,12668731,12724401,14580349,14636569,14697242,14743216,15161933,15190072,15231747,15231748,15324660,15488952,15576338,15616580,15960975,15983046,15998806,16115810,16159877,16263121,16307923,16325183,16374509,16469706,16622419,16713569,16949367,16990800,17148452,17235358,17274640,17353931,17426036,17461779,17474147,17588522,17932509,18000879,18029035,18157088,18723680,18765789,18805092,19193609,19293945,19343720,19377461,19470757,19549727,19596235,19615732,19688755,19690564,19692572,19738201,19953087,20016603,20308539,20431927,20434986,20467437,20504901,20531386,20562864,20614026,20618440,20811636,20921139,20930030,20959446,21078624,21123453,21163940,21177249,21182203,21255825,21642987,21653829,21674799,21757351,21888893,22100920,22195966,22337587,22365833,22402981,22466964,22623428,22658674,22863883,22889411,22939624,23160376,23349634,23443559,23444366,23455922,23463506,23464991,23752268,23770852,23954414,23986595,24366813,24412244,24463511,24510904,24550280,24584437,24728074,24811749,24882805,24976009,24981860,25011449,25036637,25123934,25281560,25332235,25502805,25582440,25702638,25910212,25940091,25963833,26167880,26186194,26297806,26355680,26382858,26508657,26527279,26638075,26686862,26687479,26816005,26972000,27086506,27107012,27113764,27152988,27173435,27472814,27505670,27609421,27986371,28190768,28611094,28805820,28883622,28977470,28977666,29021621,29251827,29426014,29643511,29721183,29845934,29867216,29985131,30194290,30824926,31413325,31617661,31694235,31980649,32203420,32761762,32814053,7739537,8641358,8654373,8657117,8895581,90000000,9115257,9325248,9417867,9472029,9660939,9687515,9852078"
"0.7","151556","14331","78","2.97281247564645","636","10085298,10092678,10373544,10790433,10827173,10862698,10882111,11163245,11940657,12032298,12192000,12234937,12242293,12376551,12376572,12411495,12609980,12668731,14523017,14580349,14636569,14638676,14697242,14743216,15047060,15102850,15174051,15175163,15190072,15231747,15383276,15576338,15616580,15998806,16115810,16230350,16253997,16374509,16484223,16510448,16622419,16679322,16923123,16964240,16990800,17000644,17101133,17274640,17353931,17361185,17403899,17474147,17588522,17716973,17719543,17785442,18654987,18729074,18805092,18850631,19156129,19293945,19377461,19549727,19596235,19597476,19688755,19690564,19766566,19953087,20186120,20308539,20332121,20399188,20431927,20467437,20504901,20531386,20562864,20711169,20811636,20930030,20936779,20972456,21044950,21123453,21252943,21314817,21525244,21555454,21575865,21653829,21674799,21757351,21965653,22094255,22119785,22195966,22337587,22402981,22407294,22453919,22558309,22751105,22889411,22939624,23022380,23091066,23160376,23236378,23414517,23463506,23572552,23602568,23623729,23752268,23770852,23956175,23975195,24189400,24315095,24396066,24412244,24457600,24510904,24550280,24584437,24606901,24658140,24728074,24947832,24976009,25011449,25123934,25324306,25402006,25582440,25609649,25670202,25684205,25756610,25910212,25944111,25959826,26167880,26186194,26355680,26382858,26472760,26508657,26655834,26686862,26906416,27086506,27113764,27152988,27173435,27193682,27291054,27472814,27563068,27626385,27684187,27986371,28190768,28420882,28514442,28533407,28611094,28805820,29053956,29100370,29104064,29426014,29511261,29568061,29643511,29774127,29867216,29911972,30108113,31413325,31617661,31980649,32707033,32814053,32960270,33436498,34316702,34799561,35016035,8641358,90000000,9115257,9325248,9472029,9687515,unassigned1312,unassigned3273,unassigned3314"
"0.41","153308","14238","62","2.89914958733458","1009","10069390,10085298,10220385,10862698,10882111,11163245,11279102,11359773,11546873,11585930,12032298,12234937,12242293,12376572,12411495,12453419,12609980,12614612,12615911,12665583,12668731,14523017,14532007,14636569,14743216,14968112,15102850,15174051,15190072,15231747,15310755,15324660,15488952,15960975,15989967,16273093,16307923,16325183,16374509,16469706,16541103,16730941,16893902,16923123,17000644,17079684,17141982,17178841,17215244,17255935,17289999,17314511,17361185,17403899,17540176,18000879,18599441,18729074,18765789,18850631,19167051,19172752,19193609,19293945,19447967,19596686,19597476,19615732,19622774,19692572,19766566,19953087,20085707,20133760,20186120,20308539,20399188,20431927,20504901,20508642,20603019,20618440,20808282,21078624,21081503,21113135,21145461,21177249,21199919,21255825,21314817,21525244,21555454,21575865,21642987,21757351,22119785,22195966,22337587,22365833,22407294,22441691,22446626,22453275,22658674,22863883,22889411,22939624,22990118,23022380,23084401,23091066,23201271,23236378,23292512,23443559,23444366,23455922,23455924,23464991,23572552,23602568,23623729,23658844,23954414,23986595,24315095,24396066,24412244,24463511,24510904,24728074,24811749,24835590,24947832,25011449,25027693,25036637,25123934,25260751,25332235,25402006,25502805,25582440,25665578,25702638,25752541,25900982,25944111,26382858,26389662,26638075,26655834,26686862,26748699,26816005,27193682,27432908,27472814,27545878,27563068,27626385,27705803,28215707,28420882,28514442,28515276,28611094,28883622,28977470,29021621,29100370,29128334,29511261,29513927,29568061,29721183,29845934,29867216,29911972,30021884,30194290,31391242,31413325,31980649,32203420,32707033,32761762,33436498,7739537,8652557,8657117,8895581,90000000,9452425,9472029,9751720,unassigned1312,unassigned3314,unassigned5"
"0","175943","14482","58","2.72932563529531","1363","10085298,10220385,10329441,10608806,10747088,10790433,10827173,10852826,10882111,11163245,11279102,11546873,11585930,11745344,11893732,11940657,12032298,12192000,12234937,12376572,12411495,12609980,12615911,12668731,14743216,14968112,15047060,15096576,15231748,15310755,15324660,15561718,15576338,15960975,15983046,16115810,16159877,16230350,16253997,16273093,16307923,16374509,16484223,16510448,16622419,16713569,16730941,16893902,17000644,17079684,17101133,17148452,17174955,17178841,17215244,17461779,17540176,17620599,17932509,18000879,18157088,18599441,18632619,18723680,18850631,19156129,19377461,19596235,19596686,19622774,19690564,19692572,20133760,20186120,20332121,20368287,20504901,20508642,20531386,20618440,20711169,20808282,21044950,21081503,21113135,21145461,21163940,21177249,21182203,21199919,21314817,21525244,21642987,21674799,21757351,21888893,21965653,22119785,22337587,22402981,22407294,22453919,22466964,22623428,22658674,22863883,22939624,22939629,23022380,23084401,23443559,23455922,23463506,23464991,23602568,23602572,23623729,23752268,23986595,24255178,24315095,24337577,24396066,24457600,24550280,24654937,24728074,24811749,24835590,24882805,24976009,24981860,25027693,25036637,25324306,25332235,25402006,25502805,25517094,25582440,25604459,25609649,25665578,25670202,25684205,25702638,25910212,25940091,25944111,26472760,26655834,26687479,26748699,26972000,27086506,27173435,27229929,27609421,27684187,27705803,27880917,28215707,28514442,28515276,28611094,28805820,28977666,29104064,29128334,29251827,29467281,29643511,29656893,29867216,29985131,30194290,30824926,30833792,31413325,31617661,31694235,31980649,32203420,32761762,32814053,34316702,35016035,7739537,8652557,8654373,8657117,90000000,9115257,9242638,9452425,9660939,9751720,unassigned3273,unassigned3314,unassigned5"
"0.97","106475","12586","85","3.05702853221437","417","10069390,10085298,10545207,10747088,10790433,10827173,10882111,11359773,11546873,11585930,11940657,12032298,12192000,12234937,12242293,12376551,12411495,12453419,12614612,12724401,14523017,14532007,14638676,14697242,14968112,15047060,15231747,15231748,15324660,15616580,15960975,15983046,15998806,16159877,16230350,16325183,16374509,16469706,16582099,16679322,16893902,16923123,16949367,16964240,17101133,17174955,17235358,17353931,17361185,17403899,17426036,17540176,17588522,17620599,17716973,17719543,18157088,18330356,18729074,18765789,18850631,19156129,19168127,19293945,19343720,19369418,19447967,19470757,19596686,19692572,19738201,19920073,20016603,20085707,20098423,20186120,20195357,20308539,20399188,20431927,20504901,20508642,20603015,20618440,20711169,20808282,20811636,20930030,20959446,21078624,21182203,21255825,21314817,21555454,21575865,21642987,21653829,21888893,22195966,22337587,22402981,22453919,22623428,22658674,22751105,22863883,22889411,23084401,23160376,23201271,23236378,23414517,23443559,23444366,23464991,23572552,23752268,23954414,23986595,24189400,24255178,24344204,24366813,24396066,24412244,24457600,24463511,24550280,24606901,24711643,24981860,25011449,25036637,25123934,25260751,25332235,25402006,25502805,25517094,25604459,25684205,25702638,25940091,25944111,26167880,26186194,26297806,26344197,26355680,26472760,26514267,26527279,26593974,26638075,26686862,26748699,26841866,26906416,26972000,27152988,27193682,27229929,27291054,27432908,27545878,27565346,27626385,27637333,27684187,28190768,28420882,28805820,28977666,29104064,29251827,29426014,29507755,29511261,29656893,29845934,29997244,30021884,30833792,31391242,31548606,31694235,32960270,8641358,8652557,8654373,8895581,9159119,9169421,9417867,9452425,9472029,9660939,9687515,9751720,9852078"
"0.04","93628","11168","81","2.68688260808277","434","10069390,10220385,10329441,10827173,10882111,11163245,11279102,11564863,11745344,12242293,12453419,12577067,12609980,12676926,14532007,14580349,14636569,14657022,14743216,15084259,15096576,15174051,15190072,15207703,15231747,15231748,15383276,15561718,15983046,15998806,16273093,16325183,16469706,16484223,16622419,16679322,16713569,16923123,16964240,17000644,17043677,17141982,17174955,17178841,17215244,17235358,17255935,17289999,17361185,17540176,17716973,17719543,17785442,18000879,18029035,18157088,18255255,18729074,18765789,18805092,18850631,19156129,19168127,19343720,19369418,19447967,19470757,19597476,19622774,19688755,19692572,19738201,19766566,19920073,19953087,19995937,20085707,20133760,20195357,20308539,20368287,20399188,20467437,20508642,20531386,20614026,20711169,20811636,20972456,21113135,21123453,21145461,21177249,21182203,21199919,21252943,21255825,21314817,21382349,21525244,21642987,21757351,21888893,21988832,22195966,22337587,22441691,22453919,22558309,22751105,22939624,22939629,23084401,23091066,23275563,23292512,23349634,23444366,23455922,23455924,23658844,23752268,23956175,23975195,23986595,24189400,24315095,24344204,24366813,24396066,24457600,24510904,24550280,24711643,24728074,24947832,24981860,25027693,25123934,25260751,25332235,25502805,25515538,25517094,25684205,25702638,25900982,25940091,25944111,25963833,26355680,26382858,26389662,26508657,26593974,26655834,26686862,26687479,26816005,26906416,27086506,27113764,27193682,27229929,27432908,27609421,27626385,27637333,27684187,27693506,27880917,28515276,28883622,28977470,28977666,29100370,29467281,29507755,29511261,29643511,29656893,29845934,29911972,29985131,30194290,30833792,31617661,31694235,31980649,32814053,34799561,7739537,8641358,8652557,8654373,8895581,9325248,9472029,9624153,9852078"
"0","118283","13134","53","2.58993433645036","947","10069390,10092678,10373544,10862698,11163245,11279102,11359773,11509230,11745344,11839770,11893732,12234937,12376551,12453419,12665583,14580349,14638676,14743216,14968112,15047060,15084259,15102850,15161933,15231747,15231748,15310755,15488952,15576338,15960975,15983046,15998806,16115810,16230350,16307923,16325183,16469706,16484223,16541103,16620772,16622419,16923123,16949367,16964240,16990800,17043677,17079684,17215244,17235358,17289999,17314511,17403899,17461779,17474147,17588522,17620599,17719543,17785442,18000879,18330356,18632619,18654987,18723680,18729074,18765789,19168127,19293945,19377461,19380743,19447967,19596235,19596686,19597476,19622774,19692572,19953087,20016603,20098423,20186120,20308539,20431927,20434986,20467437,20504901,20508642,20614026,20711169,20811636,20921139,20972456,21081503,21123453,21145461,21182203,21382349,21525244,21555454,21642987,21653829,21674799,21965653,22337587,22365833,22441691,22453275,22453919,22558309,22658674,22863883,22889411,22939629,23022380,23084401,23160376,23236378,23275563,23349634,23414517,23443559,23455922,23464991,23572552,23602568,23623729,23658844,23752268,23770852,23954414,23956175,23975195,24189400,24337577,24344204,24366813,24396066,24412244,24606901,24654937,24711643,24835590,24981860,25260751,25324306,25604459,25702638,25756610,25910212,25944111,26167880,26186194,26297806,26355680,26389662,26514267,26527279,26593974,26638075,26687479,26748699,26906416,26972000,27152988,27193682,27229929,27505670,27563068,27565346,27693506,27705803,27986371,28533407,28805820,28883622,28977470,29021621,29053956,29100370,29104064,29128334,29251827,29513927,29568061,29774127,29845934,29867216,29997244,30021884,31617661,32707033,32761762,33436498,34799561,7739537,8895581,90000000,9242638,9660939,9687515,9751720,unassigned3273,unassigned5"
"0.13","101650","11671","60","2.7387622638083","664","10069390,10092678,10329441,10373544,10545207,10747088,10790433,10852826,10862698,11163245,11279102,11359773,11509230,11546873,11585930,11893732,11940657,12192000,12234937,12376551,12453419,12577067,12615911,12665583,12676926,14580349,14657022,14697242,15047060,15102850,15190072,15231747,15231748,15310755,15324660,15383276,15488952,15561718,15576338,15960975,15989967,16115810,16159877,16263121,16374509,16469706,16484223,16510448,16622419,16713569,16893902,16949367,17000644,17079684,17101133,17148452,17174955,17215244,17255935,17274640,17353931,17361185,17426036,17461779,17588522,17620599,17716973,17785442,18255255,18654987,18723680,18729074,18805092,18850631,19168127,19172752,19193609,19214193,19343720,19380743,19447967,19470757,19688755,19690564,19766566,20080579,20133760,20332121,20467437,20531386,20603015,20811636,20921139,21078624,21081503,21145461,21199919,21255825,21382349,21525244,21555454,21575865,21888893,21988832,22100920,22119785,22402981,22407294,22441691,22446626,22453919,22658674,22751105,22863883,22889411,22939624,22939629,23022380,23091066,23160376,23236378,23455924,23463506,23602568,23602572,23658844,23752268,24255178,24337577,24344204,24366813,24396066,24412244,24457600,24463511,24510904,24606901,24882805,25011449,25027693,25036637,25281560,25502805,25515538,25604459,25665578,25670202,25684205,25900982,25910212,25959826,25963833,26167880,26297806,26382858,26389662,26593974,26972000,27107012,27113764,27152988,27193682,27229929,27505670,27563068,27609421,27693506,27880917,27986371,28190768,28215707,28515276,28533407,28611094,28977470,29021621,29104064,29467281,29656893,29774127,29845934,29911972,29985131,30108113,31413325,31548606,31694235,32707033,32761762,32814053,34799561,35016035,8641358,8652557,90000000,9115257,9169421,9242638,9751720,unassigned1312"
"0.45","157912","14558","92","2.93939875568968","497","10092678,10329441,10545207,10608806,10790433,10852826,11509230,11546873,11585930,11893732,11940657,12032305,12234937,12376572,12668731,14638676,14743216,14968112,15047060,15174051,15190072,15207703,15231747,15324660,15383276,15488952,15616580,15983046,15989967,15998806,16115810,16159877,16484223,16510448,16679322,16730941,16893902,16990800,17000644,17079684,17148452,17178841,17215244,17274640,17289999,17588522,17719543,18000879,18029035,18157088,18255255,18632619,18729074,19156129,19172752,19293945,19343720,19369418,19377461,19380743,19470757,19549727,19615732,19622774,19688755,19690564,19738201,19920073,19995937,20080579,20085707,20098423,20133760,20195357,20368287,20399188,20434986,20531386,20603015,20603019,20614026,20711169,20811636,20921139,21044950,21081503,21177249,21182203,21252943,21255825,21382349,21555454,21653829,21757351,21888893,21965653,21988832,22094255,22119785,22407294,22453275,22623428,22751105,22863883,22990118,23201271,23275563,23292512,23414517,23443559,23444366,23463506,23572552,23956175,23975195,24315095,24337577,24344204,24366813,24457600,24550280,24606901,24654937,24976009,24981860,25011449,25036637,25123934,25260751,25324306,25332235,25502805,25582440,25604459,25670202,25684205,25756610,25910212,25940091,25959826,25963833,26167880,26186194,26355680,26389662,26472760,26508657,26748699,26841866,27291054,27432908,27505670,27545878,27563068,27609421,27637333,27684187,27705803,27880917,27986371,28215707,28420882,28514442,28515276,28611094,28883622,28977470,28977666,29104064,29128334,29251827,29467281,29507755,29511261,29568061,29656893,29774127,29845934,29985131,29997244,30194290,30833792,31391242,31413325,31548606,31694235,32761762,32814053,32960270,34799561,35016035,8641358,8657117,9169421,9472029,9624153,9660939,9687515,unassigned3273,unassigned3314"
