"pvalue","num_inter","n_proteins","xmin","alpha","ntail","pubmedIDs"
"0","46784","10573","12","2.32830154576642","1587","10092678,10220385,10747088,11546873,11564863,12032305,12609980,12615911,14580349,14657022,14697242,15096576,15488952,15576338,16115810,16253997,16263121,16510448,16620772,16990800,17043677,17148452,17403899,17474147,17716973,17785442,18765789,19214193,19293945,19369418,19377461,19596235,19596686,19738201,19995937,20195357,20434986,20467437,20504901,20508642,20531386,21081503,21113135,21145461,21314817,21555454,21575865,21674799,21988832,22119785,22365833,22402981,22466964,22889411,23201271,23292512,23349634,23463506,23602568,23623729,23752268,23770852,23986595,24189400,24396066,24584437,24654937,24835590,24981860,25011449,25582440,25752541,25756610,25910212,26297806,26355680,26472760,26748699,27107012,27565346,27693506,29053956,29100370,29507755,29513927,29568061,29636472,29845934,30021884,30194290,31413325,34316702,35016035,8654373,9115257,9242638,9417867,9472029,9624153,9687515"
"0.67","81209","11517","56","2.86967376351666","533","10092678,10220385,10329441,10747088,10790433,11509230,11564863,11585930,11893732,12032305,12242293,12577067,12665583,12676926,12724401,14532007,14636569,15047060,15096576,15174051,15190072,15207703,15561718,15576338,15983046,16115810,16159877,16253997,16263121,16307923,16374509,16582099,16713569,16964240,17255935,17461779,17474147,17620599,17719543,18029035,18255255,18654987,19377461,19597476,19615732,19622774,19995937,20016603,20186120,20467437,20504901,20603019,20972456,21113135,21123453,21252943,21555454,22658674,22939629,23160376,23602572,24344204,24457600,25260751,25402006,25582440,25609649,25670202,25940091,26186194,26389662,26816005,26841866,26972000,27107012,27113764,27193682,27291054,27637333,27684187,27705803,27880917,28215707,29053956,29100370,29104064,29128334,29426014,29774127,29911972,30833792,31694235,33436498,34316702,8895581,9169421,9325248,9452425,unassigned3273,unassigned3314"
"0.1","35253","7258","23","2.2639007183913","565","10085298,10747088,10790433,10827173,11359773,12234937,12376551,12609980,12676926,14638676,14697242,15084259,15190072,15576338,15983046,16374509,16484223,16510448,16582099,17000644,17141982,17148452,17174955,17274640,17361185,17403899,18330356,19156129,19168127,19343720,19596235,19622774,19766566,19953087,20085707,20098423,20434986,20508642,20531386,20562864,20808282,20811636,20959446,21314817,21525244,21555454,21575865,22094255,22337587,22407294,22441691,22446626,22453919,22466964,22889411,22939624,23349634,23455922,23464991,23572552,23602568,23752268,23975195,23986595,24658140,24728074,24811749,24976009,25027693,25281560,25515538,25517094,25670202,25684205,25940091,26297806,26472760,26527279,26593974,26638075,26687479,26972000,27086506,27173435,27505670,27545878,27705803,28628118,29251827,29426014,29656893,29845934,29985131,30824926,31391242,32203420,34316702,9624153,9660939,unassigned1312"
"0.41","63307","9446","40","2.68185688265088","673","10085298,10608806,11509230,11546873,11893732,11940657,12242293,12609980,14532007,14636569,14638676,14743216,15047060,15096576,15174051,15175163,15488952,15998806,16115810,16253997,16582099,16713569,16893902,16949367,16990800,17043677,17148452,17274640,17540176,17588522,17716973,17785442,18000879,18029035,18157088,18729074,18850631,19167051,19549727,19615732,19766566,19953087,20332121,20399188,21044950,21123453,21182203,21965653,22094255,22365833,22407294,22446626,22863883,23091066,23160376,23236378,23292512,23464991,23752268,23975195,23986595,24189400,24315095,24366813,24396066,24412244,24457600,24584437,24811749,24981860,25036637,25702638,26297806,26389662,26638075,26906416,27086506,27153538,27229929,27291054,27545878,27693506,28420882,28611094,29021621,29100370,29128334,29467281,29507755,29513927,29643511,29845934,31694235,31980649,32761762,32814053,32960270,34799561,8657117,unassigned1312"
"0.37","65045","11028","71","3.02921732598174","265","10092678,10747088,10882111,11839770,12192000,12234937,12242293,12376551,12411495,12724401,14523017,14636569,15488952,16115810,16159877,16253997,16273093,16510448,16620772,16923123,16964240,17000644,17079684,17101133,17215244,17235358,17255935,17289999,17361185,17426036,17540176,17785442,18654987,18850631,19168127,19377461,19447967,19549727,19615732,19688755,19692572,19738201,19920073,19995937,20531386,20930030,20936779,21081503,21145461,21199919,21252943,21642987,21674799,22119785,22195966,22402981,22446626,22453919,22558309,23275563,23292512,23455922,23455924,23752268,24189400,24344204,24606901,24711643,25036637,25123934,25324306,25515538,25752541,25944111,25959826,26186194,26344197,26382858,26389662,26472760,26906416,27505670,28190768,28420882,28805820,29426014,29911972,29985131,29997244,30021884,32960270,33436498,34799561,7739537,90000000,9242638,9452425,9751720,9852078,unassigned5"
"0.82","66319","9747","58","2.66421700650378","408","10069390,10085298,10545207,10608806,11279102,11564863,11585930,12032298,12032305,12192000,12577067,12665583,14636569,14697242,15084259,15102850,15175163,15231747,15488952,16230350,16273093,16374509,16582099,16679322,16713569,17174955,17178841,17235358,17620599,17785442,18255255,19167051,19214193,19447967,19688755,19690564,19920073,20016603,20186120,20431927,20467437,20508642,20603019,20614026,20959446,21145461,21314817,21525244,21653829,21757351,21988832,22100920,22337587,22441691,22466964,22658674,22939624,22939629,22990118,23236378,23275563,23602568,23975195,24396066,24457600,24510904,24550280,24606901,24658140,24711643,25281560,25402006,25604459,25670202,25900982,25944111,25963833,26167880,26355680,26972000,27152988,27505670,28215707,29021621,29100370,29128334,29511261,29867216,29985131,30833792,31694235,32707033,32761762,33436498,34799561,9159119,9325248,9452425,9751720,unassigned3314"
"0","79182","11610","39","2.7799986661289","859","10329441,10747088,12032305,12192000,12453419,12609980,14657022,14968112,15102850,15190072,15231747,15324660,15616580,15960975,15989967,16263121,16325183,16510448,16582099,16893902,16949367,17043677,17174955,17361185,17403899,17474147,18723680,18729074,19193609,19214193,19293945,19343720,19597476,19690564,19920073,20016603,20308539,20332121,20508642,20531386,20811636,20972456,21044950,21081503,21177249,21575865,21988832,22119785,23022380,23292512,23349634,23444366,23455922,23602568,23623729,24315095,24344204,24654937,24658140,24728074,24811749,24882805,24981860,25324306,25609649,25684205,25940091,26186194,26344197,26382858,26508657,26514267,26593974,26686862,26687479,26816005,27086506,27107012,27291054,27505670,27545878,27563068,27693506,27705803,27986371,28628118,29426014,29513927,29636472,30194290,31413325,31548606,32203420,32707033,32960270,90000000,9325248,9687515,9751720,9852078"
"0","109997","13654","22","2.64721279076335","2879","10085298,10852826,11279102,11839770,11893732,12032298,12192000,12453419,12614612,12676926,12724401,14523017,14657022,14743216,15084259,15161933,15175163,15576338,15989967,15998806,16230350,16253997,16307923,16469706,16484223,16713569,16893902,16949367,17079684,17101133,17148452,17235358,17540176,18157088,18255255,18654987,19156129,19343720,19549727,19615732,19622774,20133760,20332121,20368287,20504901,20603015,20603019,20808282,20930030,20972456,21182203,21525244,21555454,21674799,21757351,22337587,22441691,22446626,22453919,22939624,23160376,23455924,23463506,23572552,23770852,23956175,24396066,24654937,24976009,25944111,25959826,26186194,26355680,26382858,26514267,27152988,27229929,27291054,27545878,27637333,27684187,27880917,28215707,28514442,29100370,29251827,29774127,29867216,29985131,30194290,30824926,30833792,31413325,32707033,32814053,8641358,8895581,9452425,9624153,unassigned3273"
"0.04","121251","13415","72","3.22100099236821","518","10085298,10329441,10790433,10882111,11546873,11564863,11940657,12032298,12192000,12376551,12411495,12453419,12522145,14636569,14743216,15047060,15096576,15576338,15616580,16230350,16307923,16325183,16582099,16620772,16679322,16964240,16990800,17235358,17274640,17289999,17353931,17361185,18000879,18157088,18729074,19293945,19343720,19470757,19597476,19953087,20016603,20508642,20959446,20972456,21123453,21199919,21653829,21757351,21988832,22337587,22365833,22558309,22939624,23091066,23455922,23464991,23602572,23623729,23658844,23954414,23975195,23986595,24344204,24550280,24584437,24711643,24728074,24811749,24981860,25502805,25702638,26297806,26344197,26355680,26389662,26638075,26816005,26972000,27173435,27505670,27637333,27705803,28190768,28215707,28514442,28515276,28533407,28611094,28628118,29513927,29774127,29845934,29997244,31413325,31548606,32761762,32960270,8641358,9687515,unassigned5"
"0.06","66242","10510","37","2.58418972316668","708","10220385,10862698,11359773,11585930,12192000,12234937,12242293,12376572,14523017,14743216,15047060,15096576,15102850,15161933,15190072,15383276,15561718,16253997,16273093,16374509,16469706,16622419,17000644,17101133,17141982,17148452,17235358,17274640,17353931,17540176,18000879,18255255,18330356,18805092,19167051,19193609,19369418,19766566,19953087,20133760,20195357,20618440,20811636,20930030,21078624,21123453,21145461,21199919,21314817,21382349,21555454,22100920,22119785,22558309,22623428,22751105,22889411,23623729,23770852,23954414,24189400,24366813,24396066,24510904,24654937,24835590,25011449,25123934,25402006,25604459,25900982,25910212,25959826,26186194,26382858,26593974,26687479,27113764,27193682,27229929,27565346,27626385,27705803,28628118,29100370,29513927,29568061,29656893,29721183,29985131,29997244,30824926,31391242,31980649,8652557,8895581,9325248,9417867,9687515,unassigned3314"
